mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate,stability,tta_weight
gaussian,0.2,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.6888496279716492,0.35,0.8242078979968066,0.18249500395116586
gaussian,0.2,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9934533834457397,0.0,0.6241884974994842,0.12776260259229644
gaussian,0.2,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-slowloris,0.7217785120010376,0.58,0.7568329965907509,0.15457778531998848
gaussian,0.2,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,ddos,0.9725340604782104,0.5000000000000001,0.7578368116873102,0.15448260066931963
gaussian,0.2,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9987553358078003,0.06000000000000001,0.9656880173680188,0.1967846034758752
gaussian,0.2,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8635107278823853,0.1,0.9060141822452621,0.18471064924666583
gaussian,0.2,bot,5,Tail,False,infiltration,0.9367480278015137,infiltration,0.7132695317268372,0.42000000000000004,0.8907399284627997,0.18168175869585448
gaussian,0.5,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9871284365653992,0.0,0.994543090877245,0.19944665158206012
gaussian,0.5,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7203234434127808,0.7496031746031746,0.7413096272461928,0.1484833662916513
gaussian,0.5,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9645452499389648,0.48640873015873015,0.7691510998160792,0.1540511081919869
gaussian,0.5,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9980834722518921,0.3978422619047619,0.8024226762996914,0.1602071530929522
gaussian,0.5,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.827033519744873,0.4950644841269841,0.8300657533976891,0.1658521208107431
gaussian,0.5,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.6928902864456177,0.5250744047619047,0.8587422326960228,0.17195960003060637
gaussian,0.5,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9368709325790405,0.0,0.627277199669001,0.1397869795145187
gaussian,0.5,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-goldeneye,0.7323919534683228,0.665,0.7198973750833243,0.16036531365164303
gaussian,0.5,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.979304313659668,0.47315789473684217,0.7717400879771186,0.171857864399098
gaussian,0.5,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9979816675186157,0.49210526315789477,0.7554548256598049,0.16838333515580958
gaussian,0.5,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7903507947921753,0.67,0.7811677688544367,0.17362684206662732
gaussian,0.5,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.6950544118881226,0.5121052631578947,0.8357563234708418,0.18597966521230336
gaussian,0.5,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9801884889602661,0.0,0.6051261021520786,0.1280863484304498
gaussian,0.5,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7310872077941895,0.7379310344827588,0.727096247182246,0.15380914180882221
gaussian,0.5,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9451606869697571,0.3855172413793103,0.816246481450957,0.17261950015285804
gaussian,0.5,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9982697367668152,0.2975862068965517,0.8443376470199754,0.17793714014661752
gaussian,0.5,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8559727668762207,0.27172413793103445,0.8729210493831386,0.1842177990375423
gaussian,0.5,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,infiltration,0.6921622157096863,0.5075862068965517,0.867095703314911,0.18333007042371013
gaussian,0.5,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9755353927612305,0.0,0.6076977838107852,0.13609275101422288
gaussian,0.5,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7240487337112427,0.7166666666666666,0.7515536428549001,0.168042665959323
gaussian,0.5,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9505518078804016,0.3833333333333334,0.817968402078797,0.18303518844135108
gaussian,0.5,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.998234748840332,0.5277777777777778,0.7366444799080076,0.1648076128438819
gaussian,0.5,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.8052154779434204,0.7611111111111111,0.7442597178250964,0.16649741702598442
gaussian,0.5,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.6758217811584473,0.4666666666666667,0.8113258125756836,0.1815243647152367
gaussian,0.5,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9772394895553589,0.0,0.6322413560671708,0.13471596567186803
gaussian,0.5,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-goldeneye,0.7092143893241882,0.6599999999999999,0.7339883210473832,0.15620698611471656
gaussian,0.5,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,ddos,0.9416406750679016,0.4800000000000001,0.7504317394614405,0.15941234495570403
gaussian,0.5,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9985580444335938,0.26,0.8586088719108019,0.18208689227316815
