tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
0.5863015651702881,0.30280329287052155,0.06669021106112738,-0.0365460499359207,0.0,6111,4973,4749,0,0.3044027779166909,0.0,False,"tail_f1,protected_class_f1"
0.5863015651702881,1.0636159777641296,0.026937639268959646,0.0,0.0,1232,1081,1081,0,0.3044027779166909,0.0,True,
0.8488037586212158,0.0,0.0726100820579525,-0.036552455098470826,0.0,42627,6640,6343,30,0.21562547876782448,0.004707359171504786,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.0015887017361819744,0.0726100820579525,-0.036552455098470826,0.0,41777,6640,6343,30,0.21562547876782448,0.004707359171504786,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.013520341366529465,0.07307046868995926,-0.033966481915085334,0.0,34527,6618,6328,28,0.21562547876782448,0.004405286343612335,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.040567584335803986,0.07330175458271693,-0.0320723384089272,0.0,21867,6579,6297,27,0.21562547876782448,0.004269449715370019,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.08958851173520088,0.07757026666439959,-0.00894991395435829,0.0,14891,6453,6199,3,0.21562547876782448,0.0004837149306675266,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.1528833955526352,0.0762875919536603,-0.003852440614393937,0.0,8102,6206,5962,0,0.21562547876782448,0.0,False,"tail_f1,protected_class_f1"
0.8488037586212158,0.30280329287052155,0.07387770120707271,-0.00030707930150009055,0.0,5922,4792,4713,0,0.21562547876782448,0.0,False,"tail_f1,protected_class_f1"
0.8488037586212158,1.0636159777641296,0.026916209665959423,0.0,0.0,1231,1080,1080,0,0.21562547876782448,0.0,True,
0.9587851166725159,0.0,0.08093994853699993,-0.00012816206350163561,0.0,30643,5854,5759,0,0.15643100091265613,0.0,False,tail_f1
0.9587851166725159,0.0015887017361819744,0.08093994853699993,-0.00012816206350163561,0.0,30153,5854,5759,0,0.15643100091265613,0.0,False,tail_f1
0.9587851166725159,0.013520341366529465,0.0808838683657459,0.0,0.0,24553,5845,5751,0,0.15643100091265613,0.0,True,
0.9587851166725159,0.040567584335803986,0.08063823907411416,0.0,0.0,15804,5821,5727,0,0.15643100091265613,0.0,True,
0.9587851166725159,0.08958851173520088,0.07986382548311377,0.0,0.0,11298,5746,5652,0,0.15643100091265613,0.0,True,
0.9587851166725159,0.1528833955526352,0.07751154214353151,0.0,0.0,7111,5522,5428,0,0.15643100091265613,0.0,True,
0.9587851166725159,0.30280329287052155,0.0735917236041187,0.0,0.0,5576,4528,4489,0,0.15643100091265613,0.0,True,
0.9587851166725159,1.0636159777641296,0.02680897827526485,0.0,0.0,1225,1075,1075,0,0.15643100091265613,0.0,True,
0.974801242351532,0.0,0.08043890109661,0.0,0.0,24577,5696,5610,0,0.122606870890742,0.0,True,
0.974801242351532,0.0015887017361819744,0.08043890109661,0.0,0.0,24510,5696,5610,0,0.122606870890742,0.0,True,
0.974801242351532,0.013520341366529465,0.08036715157885277,0.0,0.0,20339,5689,5603,0,0.122606870890742,0.0,True,
0.974801242351532,0.040567584335803986,0.08012047174746895,0.0,0.0,12505,5665,5579,0,0.122606870890742,0.0,True,
0.974801242351532,0.08958851173520088,0.07939490667507698,0.0,0.0,9551,5595,5509,0,0.122606870890742,0.0,True,
0.974801242351532,0.1528833955526352,0.077067119091773,0.0,0.0,6723,5374,5288,0,0.122606870890742,0.0,True,
0.974801242351532,0.30280329287052155,0.07341227921515114,0.0,0.0,5516,4499,4461,0,0.122606870890742,0.0,True,
0.974801242351532,1.0636159777641296,0.026723092981638774,0.0,0.0,1215,1071,1071,0,0.122606870890742,0.0,True,
0.9811193943023682,0.0,0.0787725035768777,0.0,0.0,18452,5050,4987,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.0015887017361819744,0.0787725035768777,0.0,0.0,18436,5050,4987,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.013520341366529465,0.07870029543826063,0.0,0.0,16062,5043,4980,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.040567584335803986,0.07845203653746291,0.0,0.0,9846,5019,4956,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.08958851173520088,0.07772180626799086,0.0,0.0,7925,4949,4886,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.1528833955526352,0.07537891372976646,0.0,0.0,5943,4728,4665,0,0.0834842431114527,0.0,True,
0.9811193943023682,0.30280329287052155,0.0725602493799079,0.0,0.0,5256,4255,4225,0,0.0834842431114527,0.0,True,
0.9811193943023682,1.0636159777641296,0.026637118487400913,0.0,0.0,1206,1067,1067,0,0.0834842431114527,0.0,True,
0.9877817630767822,0.0,0.07746079899375324,0.0,0.0,12310,4667,4629,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.0015887017361819744,0.07746079899375324,0.0,0.0,12309,4667,4629,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.013520341366529465,0.07738775908916462,0.0,0.0,11293,4660,4622,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.040567584335803986,0.07714712152418757,0.0,0.0,8297,4637,4599,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.08958851173520088,0.07640856428293663,0.0,0.0,6871,4567,4529,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.1528833955526352,0.07406923418001365,0.0,0.0,5435,4351,4313,0,0.04425167152013445,0.0,True,
0.9877817630767822,0.30280329287052155,0.07154183909158685,0.0,0.0,4970,4037,4015,0,0.04425167152013445,0.0,True,
0.9877817630767822,1.0636159777641296,0.026378658404744293,0.0,0.0,1149,1055,1055,0,0.04425167152013445,0.0,True,
0.9980064034461975,0.0,0.07279328807831631,0.0,0.0,6158,4041,4041,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.0015887017361819744,0.07279328807831631,0.0,0.0,6158,4041,4041,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.013520341366529465,0.07272601467203188,0.0,0.0,6151,4035,4035,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.040567584335803986,0.07252374149588847,0.0,0.0,6079,4017,4017,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.08958851173520088,0.07196964294150698,0.0,0.0,5792,3968,3968,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.1528833955526352,0.06967768200314772,0.0,0.0,4592,3770,3770,0,0.010480872534284648,0.0,True,
0.9980064034461975,0.30280329287052155,0.06743178470134958,0.0,0.0,4283,3583,3583,0,0.010480872534284648,0.0,True,
0.9980064034461975,1.0636159777641296,0.02374899024133903,0.0,0.0,1006,935,935,0,0.010480872534284648,0.0,True,
0.9996273517608643,0.0,0.0398380096271318,0.0,0.0,2471,1734,1734,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.0015887017361819744,0.0398380096271318,0.0,0.0,2471,1734,1734,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.013520341366529465,0.039801570849689605,0.0,0.0,2469,1732,1732,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.040567584335803986,0.039710397715692736,0.0,0.0,2464,1727,1727,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.08958851173520088,0.039509432863899074,0.0,0.0,2435,1716,1716,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.1528833955526352,0.03845953912186306,0.0,0.0,1829,1659,1659,0,0.004422631701828918,0.0,True,
0.9996273517608643,0.30280329287052155,0.0371880170643657,0.0,0.0,1720,1591,1591,0,0.004422631701828918,0.0,True,
0.9996273517608643,1.0636159777641296,0.012238370375538765,0.0,0.0,459,451,451,0,0.004422631701828918,0.0,True,
