condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted,recall_upper_bound,individual_f1_upper_not_joint
3,expert7_always,xss,343854,343722,252906,132,1674963,0.5761077254168426,0.9996161161423164,0.7309485986972637,0.1311842246542685,36439,0,343854,343854,,
4,scorer_only,xss,343854,327681,111237,16173,1816632,0.7465654176862193,0.9529655028006072,0.8372322975272494,0.0576994598699392,20398,0,20422,20422,,
5,scorer_verifier,xss,343854,327561,110891,16293,1816978,0.7470851997482051,0.9526165174754402,0.837424230416231,0.0575199870945588,20278,0,20422,20294,,
6,bank_oracle,xss,343854,343726,93423,128,1834446,0.7862902580127142,0.9996277489864884,0.8802168493590934,0.04845920547506081,36443,0,343854,36445,0.9996277489864884,0.885797008825087
0,fixed_call_bank_oracle,password,210951,210364,50930,587,2009842,0.8050854592910668,0.9972173632739356,0.8909104384376754,0.02471403920472522,0,0,1,0,0.9972173632739356,0.8909104384376754
1,global,password,210951,210364,50930,587,2009842,0.8050854592910668,0.9972173632739356,0.8909104384376754,0.0247140392047252,0,0,0,0,,
2,fixed_region,password,210951,210535,50506,416,2010266,0.8065208147379147,0.998027978061256,0.8921125781792911,0.0245082910676193,244,73,210951,210951,,
3,expert1_always,password,210951,210509,55064,442,2005708,0.7926596453705761,0.9979047266900845,0.8835189833040938,0.0267200835415077,330,185,210951,210951,,
3,expert2_always,password,210951,210108,49936,843,2010836,0.8079709587608251,0.9960038113116316,0.8921878151572734,0.0242316956946231,154,410,210951,210951,,
3,expert3_always,password,210951,210207,50164,744,2010608,0.8073364545206647,0.996473114609554,0.8919889162822868,0.0243423338438216,173,330,210951,210951,,
3,expert4_always,password,210951,206350,49818,4601,2010954,0.805526061022454,0.9781892477399964,0.8835007781742982,0.0241744355998625,186,4200,210951,210951,,
3,expert5_always,password,210951,210303,50235,648,2010537,0.8071874352301776,0.996928196595418,0.892080196992931,0.024376786951686,193,254,210951,210951,,
3,expert6_always,password,210951,210603,50596,348,2010176,0.8062932859620443,0.9983503278012428,0.8921020862014191,0.0245519640212502,247,8,210951,210951,,
3,expert7_always,password,210951,209403,50357,1548,2010415,0.8061402833384663,0.9926618029779428,0.8897306415188938,0.024435988066608,179,1140,210951,210951,,
4,scorer_only,password,210951,210364,50930,587,2009842,0.8050854592910668,0.9972173632739356,0.8909104384376754,0.0247140392047252,0,0,1,1,,
5,scorer_verifier,password,210951,210364,50930,587,2009842,0.8050854592910668,0.9972173632739356,0.8909104384376754,0.0247140392047252,0,0,1,1,,
6,bank_oracle,password,210951,210741,49826,210,2010946,0.808778548319626,0.9990045081559225,0.8938831603459465,0.02417831764018533,377,0,210951,450,0.9990045081559225,0.8949992567897564
0,fixed_call_bank_oracle,ddos,103338,99722,1967,3616,2166418,0.9806567081985269,0.9650080318953338,0.9727694401225204,0.0009071267325682478,808,0,833,808,0.9650080318953338,0.9727694401225204
1,global,ddos,103338,98914,1968,4424,2166417,0.9804920600305308,0.9571890301728307,0.9687004211144844,0.0009075879052843,0,0,0,0,,
2,fixed_region,ddos,103338,100551,4439,2787,2163946,0.9577197828364606,0.973030250246763,0.9653143120463884,0.0020471456867668,2932,1295,103338,103338,,
3,expert1_always,ddos,103338,100853,5356,2485,2163029,0.9495711286237511,0.9759526989103718,0.9625811870367984,0.0024700410674303,2976,1037,103338,103338,,
3,expert2_always,ddos,103338,100902,3877,2436,2164508,0.9629983107302036,0.9764268710445336,0.9696661012795688,0.0017879666203188,2931,943,103338,103338,,
3,expert3_always,ddos,103338,100992,5032,2346,2163353,0.9525390477627708,0.9772977994542182,0.9647596029843049,0.002320621107414,2965,887,103338,103338,,
3,expert4_always,ddos,103338,100872,2796,2466,2165589,0.9730292857969672,0.9761365615746386,0.9745804469435668,0.0012894389142149,2909,951,103338,103338,,
3,expert5_always,ddos,103338,101386,5274,1952,2163111,0.9505531595724732,0.9811105304921712,0.9655901484776046,0.0024322249047101,3044,572,103338,103338,,
3,expert6_always,ddos,103338,100571,3686,2767,2164699,0.9646450598041378,0.9732237898933596,0.9689154363062694,0.0016998826315437,2944,1287,103338,103338,,
3,expert7_always,ddos,103338,100582,4670,2756,2163715,0.955630296811462,0.9733302366989878,0.9643990603576392,0.0021536765841859,2947,1279,103338,103338,,
4,scorer_only,ddos,103338,99719,1971,3619,2166414,0.9806175631822204,0.9649790009483444,0.9727354312581696,0.0009089714234326,805,0,833,833,,
5,scorer_verifier,ddos,103338,99718,1968,3620,2166417,0.980646303325925,0.9649693239660144,0.9727446542843764,0.0009075879052843,804,0,833,829,,
6,bank_oracle,ddos,103338,102069,1208,1269,2167177,0.9883033008317438,0.9877199094234453,0.9880115190087845,0.0005570966410485223,3155,0,103338,3770,0.9877199094234453,0.991827810708386
0,fixed_call_bank_oracle,injection,68891,66327,7051,2564,2195781,0.9039085284417673,0.9627817857194699,0.932416759800097,0.0032008795949940803,118,0,121,118,0.9627817857194699,0.932416759800097
1,global,injection,68891,66209,7051,2682,2195781,0.9037537537537538,0.9610689349842504,0.9315305555360144,0.003200879594994,0,0,0,0,,
2,fixed_region,injection,68891,67565,13246,1326,2189586,0.8360866713689968,0.9807522027550768,0.9026599511028576,0.0060131685030905,1522,166,68891,68891,,
3,expert1_always,injection,68891,66542,14165,2349,2188667,0.8244885821552034,0.9659026578217764,0.8896108236741133,0.006430358738206,485,152,68891,68891,,
3,expert2_always,injection,68891,66230,20351,2661,2182481,0.7649484297940656,0.9613737643523828,0.8519862097355151,0.0092385619965571,397,376,68891,68891,,
3,expert3_always,injection,68891,66156,21220,2735,2181612,0.7571415491668193,0.9602996037218214,0.8467046785309759,0.0096330541775314,348,401,68891,68891,,
3,expert4_always,injection,68891,68711,216303,180,1986529,0.241079385574042,0.9973871768445806,0.3883019454373348,0.0981931440981427,2529,27,68891,68891,,
3,expert5_always,injection,68891,66362,21388,2529,2181444,0.7562621082621083,0.963289834666357,0.8473132832400202,0.0097093196394459,339,186,68891,68891,,
3,expert6_always,injection,68891,66175,9743,2716,2193089,0.8716641639663848,0.9605754017215602,0.9139625299532488,0.004422942829957,333,367,68891,68891,,
3,expert7_always,injection,68891,64060,1363,4831,2201469,0.979166348226159,0.929874729645382,0.953884181842548,0.0006187489558895,289,2438,68891,68891,,
4,scorer_only,injection,68891,66309,7073,2582,2195759,0.9036139652775884,0.962520503403928,0.9321375102795332,0.0032108667388162,100,0,121,121,,
5,scorer_verifier,injection,68891,66303,7068,2588,2195764,0.903667661610173,0.9624334092987472,0.9321252337236928,0.003208596933402,94,0,121,115,,
6,bank_oracle,injection,68891,68757,239,134,2202593,0.9965360310742651,0.9980548983176322,0.9972948863924808,0.0001084966987950057,2548,0,68891,2561,0.9980548983176322,0.9974829719790224
0,fixed_call_bank_oracle,backdoor,40030,39998,65,32,2231628,0.9983775553503232,0.9992005995503372,0.9987889078945725,2.912586991131845e-05,2,0,2,2,0.9992005995503372,0.9987889078945725
1,global,backdoor,40030,39996,67,34,2231626,0.998327633976487,0.9991506370222332,0.9987389659520808,3.00220505239744e-05,0,0,0,0,,
2,fixed_region,backdoor,40030,40016,105,14,2231588,0.997382916677052,0.9996502623032726,0.9985153023667828,4.704948216443749e-05,20,0,40030,40030,,
3,expert1_always,backdoor,40030,40010,197,20,2231496,0.9951003556594624,0.9995003747189608,0.997295512045565,8.827379034661129e-05,14,0,40030,40030,,
3,expert2_always,backdoor,40030,40010,146,20,2231547,0.9963641796991732,0.9995003747189608,0.9979298131843464,6.542118472388451e-05,14,0,40030,40030,,
3,expert3_always,backdoor,40030,40010,74,20,2231619,0.9981538768585968,0.9995003747189608,0.9988266719924108,3.315868266827023e-05,14,0,40030,40030,,
3,expert4_always,backdoor,40030,40020,202,10,2231491,0.9949778728059272,0.9997501873594804,0.997358321287943,9.051424187825116e-05,24,0,40030,40030,,
3,expert5_always,backdoor,40030,40010,108,20,2231585,0.9973079415723616,0.9995003747189608,0.998402954534112,4.839375308342142e-05,14,0,40030,40030,,
3,expert6_always,backdoor,40030,40010,120,20,2231573,0.9970097184151508,0.9995003747189608,0.998253493013972,5.377083675935713e-05,14,0,40030,40030,,
3,expert7_always,backdoor,40030,40012,70,18,2231623,0.9982535801606708,0.9995503372470648,0.9989015378470142,3.136632144295833e-05,16,0,40030,40030,,
4,scorer_only,backdoor,40030,39998,65,32,2231628,0.9983775553503232,0.9992005995503372,0.9987889078945724,2.912586991131845e-05,2,0,2,2,,
5,scorer_verifier,backdoor,40030,39998,67,32,2231626,0.998327717459129,0.9992005995503372,0.9987639677882516,3.00220505239744e-05,2,0,2,2,,
6,bank_oracle,backdoor,40030,40020,52,10,2231641,0.998702335795568,0.9997501873594804,0.9992259868667449,2.3300695929054758e-05,24,0,40030,24,0.9997501873594804,0.9992509363295881
0,fixed_call_bank_oracle,dos,22458,22136,359,322,2248906,0.9840408979773283,0.9856621248552854,0.9848508442150691,0.0001596076940689514,77,0,83,77,0.9856621248552854,0.9848508442150691
1,global,dos,22458,22059,359,399,2248906,0.9839860826121868,0.9822335025380712,0.9831090114983512,0.0001596076940689,0,0,0,0,,
2,fixed_region,dos,22458,22193,16054,265,2233211,0.5802546604962481,0.9882001959212752,0.731175356230953,0.0071374426757185,134,0,22458,22458,,
3,expert1_always,dos,22458,21725,1574,733,2247691,0.9324434525086912,0.9673612966426218,0.9495814848001398,0.0006997841517117,36,370,22458,22458,,
3,expert2_always,dos,22458,21749,597,709,2248668,0.9732838091828516,0.9684299581440912,0.970850816891349,0.0002654200372121,24,334,22458,22458,,
3,expert3_always,dos,22458,22412,52697,46,2196568,0.2983930021701793,0.9979517321221836,0.4594176309612881,0.0234285422126783,353,0,22458,22458,,
3,expert4_always,dos,22458,21884,11919,574,2237346,0.6473981599266337,0.9744411790898566,0.777945646184746,0.0052990643610246,15,190,22458,22458,,
3,expert5_always,dos,22458,21986,13597,472,2235668,0.6178793243964814,0.9789829904711016,0.7576023845212867,0.0060450858391519,41,114,22458,22458,,
3,expert6_always,dos,22458,22170,5556,288,2243709,0.7996104739233932,0.9871760619823672,0.8835485413677666,0.0024701402458136,112,1,22458,22458,,
3,expert7_always,dos,22458,22140,743,318,2248522,0.9675304811432068,0.9858402351055304,0.9765995456650712,0.0003303301300647,84,3,22458,22458,,
4,scorer_only,dos,22458,22094,361,364,2248904,0.983923402360276,0.983791967227714,0.9838576804043372,0.000160496873423,35,0,83,83,,
5,scorer_verifier,dos,22458,22063,359,395,2248906,0.983988939434484,0.982411612788316,0.9831996434937612,0.0001596076940689,4,0,83,52,,
6,bank_oracle,dos,22458,22412,216,46,2249049,0.9904543044016263,0.9979517321221836,0.9941888834671516,9.603137024761423e-05,353,0,22458,354,0.9979517321221836,0.9942109349007431
0,fixed_call_bank_oracle,scanning,6029,4278,50,1751,2265644,0.9884473197781886,0.7095704096865152,0.8261079463165009,2.2068293423560287e-05,3826,0,3850,3826,0.7095704096865152,0.8261079463165009
1,global,scanning,6029,452,50,5577,2265644,0.900398406374502,0.0749709736274672,0.1384167815035982,2.2068293423560287e-05,0,0,0,0,,
2,fixed_region,scanning,6029,4426,18457,1603,2247237,0.1934186951011668,0.7341184275999336,0.3061704482567792,0.008146289834373,3974,0,6029,6029,,
3,expert1_always,scanning,6029,4162,48035,1867,2217659,0.0797363833170488,0.6903300713219439,0.1429601896060179,0.0212010094920143,3710,0,6029,6029,,
3,expert2_always,scanning,6029,5439,54321,590,2211373,0.0910140562248996,0.902139658318129,0.1653467904968915,0.0239754353412243,4987,0,6029,6029,,
3,expert3_always,scanning,6029,4245,39104,1784,2226590,0.0979261343975639,0.7040968651517665,0.1719389201668759,0.017259170920698,3793,0,6029,6029,,
3,expert4_always,scanning,6029,4240,7715,1789,2257979,0.3546633207862819,0.7032675402222591,0.4715302491103202,0.0034051376752553,3793,5,6029,6029,,
3,expert5_always,scanning,6029,4134,8431,1895,2257263,0.3290091524074811,0.6856858517167026,0.4446595676024524,0.0037211556370807,3682,0,6029,6029,,
3,expert6_always,scanning,6029,4114,47540,1915,2218154,0.0796453324040732,0.6823685519986731,0.1426416795242966,0.0209825333871211,3662,0,6029,6029,,
3,expert7_always,scanning,6029,3932,7643,2097,2258051,0.3396976241900648,0.6521811245646044,0.4467166553056124,0.0033733593327254,3484,4,6029,6029,,
4,scorer_only,scanning,6029,4270,287,1759,2265407,0.9370199692780338,0.7082434897993034,0.8067258643491404,0.0001266720042512,3818,0,3850,3850,,
5,scorer_verifier,scanning,6029,4245,172,1784,2265522,0.9610595426760244,0.7040968651517665,0.8127512923607122,7.591492937704739e-05,3793,0,3850,3821,,
6,bank_oracle,scanning,6029,5462,3,567,2265691,0.9994510521500457,0.905954552993863,0.950408908995998,1.3240976054136173e-06,5010,0,6029,5014,0.905954552993863,0.950408908995998
0,fixed_call_bank_oracle,mitm,1161,1062,29297,99,2241265,0.03498138937382654,0.9147286821705426,0.06738578680203046,0.012902972920360686,0,0,0,0,0.9147286821705426,0.06738792474380532
1,global,mitm,1161,1062,29300,99,2241262,0.0349779329424939,0.9147286821705426,0.0673793737905656,0.0129042941791503,0,0,0,0,,
2,fixed_region,mitm,1161,1147,50807,14,2219755,0.0220772221580629,0.9879414298018948,0.0431893062223477,0.0223763984423239,86,1,1161,1161,,
3,expert1_always,mitm,1161,1139,69114,22,2201448,0.0162128307687927,0.9810508182601206,0.0318985072954882,0.0304391599965118,87,10,1161,1161,,
3,expert2_always,mitm,1161,1151,79316,10,2191246,0.0143040003976785,0.991386735572782,0.0282011074631254,0.0349323207205969,90,1,1161,1161,,
3,expert3_always,mitm,1161,1148,35105,13,2235457,0.0316663448542189,0.9888027562446168,0.0613674025765756,0.0154609299371697,87,1,1161,1161,,
3,expert4_always,mitm,1161,1143,57072,18,2213490,0.0196341149188353,0.9844961240310076,0.0385004042037186,0.02513562721476,85,4,1161,1161,,
3,expert5_always,mitm,1161,1151,57790,10,2212772,0.01952800257885,0.991386735572782,0.0383015540248244,0.0254518484850887,90,1,1161,1161,,
3,expert6_always,mitm,1161,1138,63653,23,2206909,0.0175641678628204,0.9801894918173988,0.0345099466278505,0.0280340285797084,79,3,1161,1161,,
3,expert7_always,mitm,1161,1138,66514,23,2204048,0.0168213800035475,0.9801894918173988,0.0330751456846816,0.0292940690454609,77,1,1161,1161,,
4,scorer_only,mitm,1161,1062,29328,99,2241234,0.0349457058242843,0.9147286821705426,0.0673195778263763,0.0129166259278539,0,0,0,0,,
5,scorer_verifier,mitm,1161,1062,29313,99,2241249,0.0349629629629629,0.9147286821705426,0.0673515981735159,0.0129100196339056,0,0,0,0,,
6,bank_oracle,mitm,1161,1155,26346,6,2244216,0.0419984727828079,0.9948320413436692,0.08059451538622567,0.01160329469091793,93,0,1161,94,0.9948320413436692,0.22763106030744976
0,fixed_call_bank_oracle,ransomware,709,648,7923,61,2263091,0.07560378018900946,0.9139633286318759,0.1396551724137931,0.0034887499592692957,0,0,9,0,0.9139633286318759,0.1396551724137931
1,global,ransomware,709,648,7923,61,2263091,0.0756037801890094,0.913963328631876,0.1396551724137931,0.0034887499592692,0,0,0,0,,
2,fixed_region,ransomware,709,648,39224,61,2231790,0.0162520064205457,0.913963328631876,0.0319361277445109,0.0172715800078731,0,0,709,709,,
3,expert1_always,ransomware,709,647,12920,62,2258094,0.0476892459644726,0.9125528913963328,0.0906416363126926,0.0056890886625974,0,1,709,709,,
3,expert2_always,ransomware,709,649,9134,60,2261880,0.0663395686394766,0.9153737658674188,0.1237133053755242,0.0040219919384028,2,1,709,709,,
3,expert3_always,ransomware,709,680,12710,29,2258304,0.0507841672890216,0.9590973201692524,0.0964607418965884,0.0055966189552332,32,0,709,709,,
3,expert4_always,ransomware,709,685,42804,24,2228210,0.0157511094759594,0.9661495063469676,0.0309968776867731,0.0188479683524628,37,0,709,709,,
3,expert5_always,ransomware,709,685,43586,24,2227428,0.0154728829256172,0.9661495063469676,0.0304579813250333,0.0191923079294095,37,0,709,709,,
3,expert6_always,ransomware,709,648,9163,61,2261851,0.0660483131179288,0.913963328631876,0.1231939163498098,0.0040347615646579,0,0,709,709,,
3,expert7_always,ransomware,709,678,42674,31,2228340,0.0156394168665805,0.9562764456981664,0.0307755157622387,0.0187907252002849,30,0,709,709,,
4,scorer_only,ransomware,709,648,7925,61,2263089,0.0755861425405342,0.913963328631876,0.1396250808015514,0.0034896306231489,0,0,9,9,,
5,scorer_verifier,ransomware,709,648,7923,61,2263091,0.0756037801890094,0.913963328631876,0.1396551724137931,0.0034887499592692,0,0,9,4,,
6,bank_oracle,ransomware,709,685,7876,24,2263138,0.08001401705408247,0.9661495063469676,0.14778856526429343,0.0034680543580973082,37,0,709,39,0.9661495063469676,0.14796414299600388
