model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows
expert2,2,injection,4,0.01,0.3018754514466371,0.009886436728234098,0.9570583262890955,29575,93976
expert2,2,mitm,5,0.001,0.5533269801923536,0.0009961793698386873,0.9357142857142857,420,123131
expert2,2,mitm,5,0.01,0.34802321633371947,0.009638122276742227,0.9857142857142858,420,123131
expert2,2,password,6,0.001,0.21359218986756803,0.0009971073734401385,0.9969776505209577,25146,98405
expert2,2,password,6,0.01,0.09958089990222145,0.00975325325755411,0.9977730056470214,25146,98405
expert2,2,ransomware,7,0.001,0.4238214672266963,0.0007161828984835196,0.9350180505415162,277,123274
expert2,2,ransomware,7,0.01,0.2775826453369365,0.009312204183761899,0.9638989169675091,277,123274
expert2,2,scanning,8,0.001,0.7927379453269197,0.0007525741573531776,0.646750357540124,6293,117258
expert2,2,scanning,8,0.01,0.3651058316865291,0.00973409020530294,0.9604322262831718,6293,117258
expert2,2,xss,9,0.001,0.2838845987242588,0.0008547500575273544,0.9725561484782737,34106,89445
expert2,2,xss,9,0.01,0.21195873237505167,0.009872386442097467,0.9903829238257198,34106,89445
expert3,3,backdoor,0,0.001,0.06116056758447061,0.000999071589166396,1.0,4292,119259
expert3,3,backdoor,0,0.01,0.02201109232610637,0.009999852164674456,1.0,4292,119259
expert3,3,benign,1,0.001,0.5595204888895596,0.0009996848969530782,0.6970198675496688,604,122947
expert3,3,benign,1,0.01,0.14189809478626134,0.009989453397914799,0.9536423841059603,604,122947
expert3,3,ddos,2,0.001,0.7072387675923842,0.000846517542294669,0.986144578313253,19920,103631
expert3,3,ddos,2,0.01,0.549642380569708,0.009249379381768659,0.9960843373493976,19920,103631
expert3,3,dos,3,0.001,0.5297289308060319,0.0007590546376191654,0.9448252227553119,2918,120633
expert3,3,dos,3,0.01,0.30013839654678665,0.009416955730722161,0.9962302947224126,2918,120633
expert3,3,injection,4,0.001,0.5052546330370438,0.0009947202301937583,0.9476923076923077,29575,93976
expert3,3,injection,4,0.01,0.3242723286984335,0.009995990341406271,0.9544547759932376,29575,93976
expert3,3,mitm,5,0.001,0.47977256741394314,0.0009289386905653768,0.9404761904761905,420,123131
expert3,3,mitm,5,0.01,0.2547562870065023,0.009590854879565434,0.9904761904761905,420,123131
expert3,3,password,6,0.001,0.20230209039927824,0.0009943890970422501,0.997057186033564,25146,98405
expert3,3,password,6,0.01,0.12021023112937211,0.009996436121540246,0.9976139346218086,25146,98405
expert3,3,ransomware,7,0.001,0.62616741891023,0.0007161828984835196,0.9314079422382672,277,123274
expert3,3,ransomware,7,0.01,0.4115149051247429,0.009307942342317556,0.9530685920577617,277,123274
expert3,3,scanning,8,0.001,0.6905516501941603,0.0007260816208780546,0.39679008422056256,6293,117258
expert3,3,scanning,8,0.01,0.25422784574667423,0.009904226360294859,0.9442237406642301,6293,117258
expert3,3,xss,9,0.001,0.3026083293112472,0.0006919970087344863,0.9450243358939776,34106,89445
expert3,3,xss,9,0.01,0.269103499238444,0.009922710353082873,0.9576027678414355,34106,89445
expert4,4,backdoor,0,0.001,0.09941045059508882,0.0009989021826247537,1.0,4292,119259
expert4,4,backdoor,0,0.01,0.05324665906346656,0.009994891375756133,1.0,4292,119259
expert4,4,benign,1,0.001,0.5466687383905037,0.0009985068885407468,0.7301324503311258,604,122947
expert4,4,benign,1,0.01,0.11370901059452589,0.009993653572547615,0.9652317880794702,604,122947
expert4,4,ddos,2,0.001,0.6146200594216451,0.0008613566972649306,0.9926706827309237,19920,103631
expert4,4,ddos,2,0.01,0.4650888182951303,0.00913890205363452,0.9954317269076305,19920,103631
expert4,4,dos,3,0.001,0.20252926732937976,0.000995585749784972,0.9458533241946538,2918,120633
expert4,4,dos,3,0.01,0.1480326765868094,0.009994743133478545,0.9664153529814942,2918,120633
expert4,4,injection,4,0.001,0.6986913935044606,0.0009958827792393517,0.9320033812341505,29575,93976
expert4,4,injection,4,0.01,0.44378074163516595,0.009996430289244261,0.9957734573119188,29575,93976
expert4,4,mitm,5,0.001,0.4499907969713917,0.0008704386887463459,0.930952380952381,420,123131
expert4,4,mitm,5,0.01,0.2596012052861142,0.009286382758052927,0.9833333333333333,420,123131
expert4,4,password,6,0.001,0.22691023453828887,0.0005144429735380533,0.9959039211007715,25146,98405
expert4,4,password,6,0.01,0.18596190766317477,0.00986319205413672,0.9966595084705321,25146,98405
expert4,4,ransomware,7,0.001,0.5088554012962531,0.0007161828984835196,0.9314079422382672,277,123274
expert4,4,ransomware,7,0.01,0.4017243151149671,0.00930611583884141,0.9530685920577617,277,123274
expert4,4,scanning,8,0.001,0.6494256561594173,0.0007179940605658418,0.5850945494994438,6293,117258
expert4,4,scanning,8,0.01,0.22864378607314245,0.009617921058144659,0.9624980136659781,6293,117258
expert4,4,xss,9,0.001,0.33532842891109305,0.0009995831691728208,0.9262886295666451,34106,89445
expert4,4,xss,9,0.01,0.24595879326648823,0.009880344621208044,0.9340878437811528,34106,89445
expert5,5,backdoor,0,0.001,0.045984213314772204,0.0009947825498908705,1.0,4292,119259
expert5,5,backdoor,0,0.01,0.020962193169249018,0.009345760851002907,1.0,4292,119259
expert5,5,benign,1,0.001,0.6129245764541655,0.0009994796549811214,0.6920529801324503,604,122947
expert5,5,benign,1,0.01,0.13201760882004376,0.00998126866414072,0.9536423841059603,604,122947
expert5,5,ddos,2,0.001,0.8244364415690348,0.0008699401921117789,0.9930220883534137,19920,103631
expert5,5,ddos,2,0.01,0.6001699794867635,0.009322675413011065,0.9961345381526104,19920,103631
expert5,5,dos,3,0.001,0.2726029170048573,0.0008698134711543768,0.9437971213159698,2918,120633
expert5,5,dos,3,0.01,0.1889020918088691,0.009996656889512725,0.9746401644962303,2918,120633
expert5,5,injection,4,0.001,0.5792624402844088,0.0009971047024963531,0.9474218089602705,29575,93976
expert5,5,injection,4,0.01,0.19879739401873753,0.00942556578093197,0.9596956889264582,29575,93976
expert5,5,mitm,5,0.001,0.5804580945968303,0.00031771347466440783,0.9428571428571428,420,123131
expert5,5,mitm,5,0.01,0.30121205454250943,0.009767400610154513,0.9809523809523809,420,123131
expert5,5,password,6,0.001,0.11777928236104611,0.0006788502080210415,0.9977332378907182,25146,98405
expert5,5,password,6,0.01,0.03763918101906259,0.009739984252287722,0.9980911476974469,25146,98405
expert5,5,ransomware,7,0.001,0.4601981203491808,0.0007186182364517155,0.9386281588447654,277,123274
expert5,5,ransomware,7,0.01,0.3107620939004991,0.009314030687238049,0.9566787003610109,277,123274
expert5,5,scanning,8,0.001,0.6970090694583305,0.0007209229129527061,0.4775146988717623,6293,117258
expert5,5,scanning,8,0.01,0.18824263700305988,0.009462056634431707,0.9609089464484347,6293,117258
expert5,5,xss,9,0.001,0.3258425058876861,0.0009940737934909121,0.9764264352313375,34106,89445
expert5,5,xss,9,0.01,0.2804921570277321,0.009599459769575934,0.9858382689262887,34106,89445
expert6,6,backdoor,0,0.001,0.03781690743427912,0.00043719653002122775,1.0,4292,119259
expert6,6,backdoor,0,0.01,0.016288211375786177,0.009620497377281628,1.0,4292,119259
expert6,6,benign,1,0.001,0.551276668059066,0.0009916179223073817,0.9652317880794702,604,122947
expert6,6,benign,1,0.01,0.20235949535106096,0.009999230885944003,0.9983443708609272,604,122947
expert6,6,ddos,2,0.001,0.19084909092994046,0.0008484703722641426,0.9990461847389558,19920,103631
expert6,6,ddos,2,0.01,0.05656260804506931,0.009790452401242185,0.9999497991967872,19920,103631
expert6,6,dos,3,0.001,0.288432929709927,0.0004732791140728405,0.9482522275531186,2918,120633
expert6,6,dos,3,0.01,0.17505239297093858,0.009998428774786561,0.9705277587388622,2918,120633
expert6,6,injection,4,0.001,0.38828273965407883,0.0009950996253327688,0.9508030431107354,29575,93976
expert6,6,injection,4,0.01,0.1340853980701441,0.009994975808839708,0.9634488588334742,29575,93976
expert6,6,mitm,5,0.001,0.4814618769247183,0.000371731249926316,0.9452380952380952,420,123131
expert6,6,mitm,5,0.01,0.29791764886132943,0.009681419841550723,0.9833333333333333,420,123131
expert6,6,password,6,0.001,0.09124620082948429,0.0007228440811710774,0.9989262705798139,25146,98405
expert6,6,password,6,0.01,0.0322887545737395,0.009992945685933381,0.9991251093613298,25146,98405
expert6,6,ransomware,7,0.001,0.25136967358336576,0.0007277507538324513,0.9386281588447654,277,123274
expert6,6,ransomware,7,0.01,0.06588668669386825,0.00999645436184449,0.9783393501805054,277,123274
expert6,6,scanning,8,0.001,0.34115518183282934,0.0008457243400453826,0.9221357063403782,6293,117258
expert6,6,scanning,8,0.01,0.13601706857246273,0.009762211808192615,0.9699666295884316,6293,117258
expert6,6,xss,9,0.001,0.2864460305041863,0.0007437808245598698,0.9671318829531461,34106,89445
expert6,6,xss,9,0.01,0.12604719037668896,0.009901414126517852,0.9950155397877206,34106,89445
expert7,7,backdoor,0,0.001,0.04250941648406141,0.0009942228559811615,1.0,4292,119259
expert7,7,backdoor,0,0.01,0.016429885419003833,0.009419750017050615,1.0,4292,119259
expert7,7,benign,1,0.001,0.5714997227541121,0.0009998296771912497,0.6821192052980133,604,122947
expert7,7,benign,1,0.01,0.11227891727728223,0.00999863714296615,0.9586092715231788,604,122947
expert7,7,ddos,2,0.001,0.7220220358331206,0.0008385872631987057,0.9939257028112449,19920,103631
expert7,7,ddos,2,0.01,0.3733550745552558,0.009326438472203814,0.9959839357429718,19920,103631
expert7,7,dos,3,0.001,0.3652667074548868,0.0007288210738786475,0.9328307059629883,2918,120633
expert7,7,dos,3,0.01,0.08281280725575375,0.009999137620222224,0.9619602467443454,2918,120633
expert7,7,injection,4,0.001,0.22045137036740484,0.00099836262778135,0.9686559594251902,29575,93976
expert7,7,injection,4,0.01,0.1495094702679443,0.009996146073111847,0.9813355874894336,29575,93976
expert7,7,mitm,5,0.001,0.535034883763649,0.0008793438138189857,0.9476190476190476,420,123131
expert7,7,mitm,5,0.01,0.21927395233515176,0.009658446427036931,0.9857142857142858,420,123131
expert7,7,password,6,0.001,0.11821351323026152,0.0009985475124453234,0.9975741668655055,25146,98405
expert7,7,password,6,0.01,0.04395825768586719,0.009994448164389056,0.9990853416050266,25146,98405
expert7,7,ransomware,7,0.001,0.5030000636295566,0.0007167917329755685,0.9386281588447654,277,123274
expert7,7,ransomware,7,0.01,0.11979182779755056,0.009343713928586793,0.9783393501805054,277,123274
expert7,7,scanning,8,0.001,0.4822069543473953,0.00072490856227587,0.7106308596853647,6293,117258
expert7,7,scanning,8,0.01,0.20515564079222887,0.009486223957747456,0.9615445733354521,6293,117258
expert7,7,xss,9,0.001,0.7973370948825017,0.0006919634361181208,0.9326804667800387,34106,89445
expert7,7,xss,9,0.01,0.5096438576245206,0.009759714417667802,0.9982700991027972,34106,89445
