round,gamma,seconds,macro_f1,tail_f1,f1_benign,f1_bot,f1_brute_force,f1_ddos,f1_dos,f1_infiltration,f1_web_attacks
12,0.0158157727824278,66.41045427322388,0.7378772945869444,0.5072999055397328,0.9936045534828702,0.9946859903381643,0.9158263099015459,0.9919300694778604,0.7418804126271353,0.3306013051584835,0.19661242112255065
13,-0.017181775820338623,66.96506810188293,0.7389063839185709,0.5096441480172678,0.993808077693192,0.9947102726987271,0.9158263099015459,0.9919358213099726,0.7418420344734827,0.3376097502305256,0.19661242112255065
14,-0.0016841513880096232,66.27438759803772,0.7389128961379271,0.5096576848957854,0.993809218074855,0.9947102726987271,0.9158263099015459,0.9919396558282488,0.7418420344734827,0.3376503608660786,0.19661242112255065
15,0.0012421023563722088,66.52579832077026,0.7389053967075281,0.5096418921874242,0.9938079347054225,0.9947102726987271,0.9158263099015459,0.9919358213099726,0.7418420344734827,0.33760298274099465,0.19661242112255065
16,0.020728460973791548,66.59690928459167,0.7376494749977022,0.5067715121140708,0.9935725167879584,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7418727366787378,0.32902826650168204,0.19661242112255065
17,-0.011609881455570023,66.42722535133362,0.7376319430661807,0.50673222495526,0.9936137070986906,0.9947102726987271,0.9158263099015459,0.9919602252734607,0.7418266843237874,0.3288739810445025,0.19661242112255065
18,0.0013235877120553541,66.53174328804016,0.7376459558306271,0.5067567729055027,0.9936121190930011,0.9947102726987271,0.9158263099015459,0.9919602252734607,0.7418527178298744,0.3289476248952303,0.19661242112255065
19,0.011207218131139849,66.46805119514465,0.7376553855672386,0.506779994738212,0.9935730908466508,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7418880887343763,0.32905371437410574,0.19661242112255065
20,0.0047094716063477635,66.8945426940918,0.7375842168463876,0.506613443645151,0.9935592103888454,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7419034414254082,0.3285540610949229,0.19661242112255065
21,-0.01070863632591337,66.55276989936829,0.7378970141601752,0.5073339568193315,0.9936102808610898,0.9946859903381643,0.9158263099015459,0.9919602252734607,0.7418804126271353,0.33070345899727943,0.19661242112255065
22,0.0008720924675712615,66.48750448226929,0.7378951372415031,0.5073296727073136,0.9936099947664384,0.9946859903381643,0.9158263099015459,0.9919602252734607,0.7418804126271353,0.33069060666122574,0.19661242112255065
23,0.014741746129639294,66.49865245819092,0.7376175918178685,0.5066814838951165,0.9935637974945164,0.9946495645977511,0.9158263099015459,0.9919621119902617,0.7419264716534048,0.3287824659650478,0.19661242112255065
24,-0.0009335202002489794,66.49774980545044,0.7376361475414658,0.5067238268509059,0.9935666586923312,0.9946495645977511,0.9158263099015459,0.9919621119902617,0.7419264716534048,0.3289094948324157,0.19661242112255065
25,-0.011997459045163538,66.31370186805725,0.7379283059529848,0.5074027905003896,0.9936151462603405,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7418880887343763,0.33092210166063857,0.19661242112255065
26,-0.003462464199892536,66.38445663452148,0.7376468044253025,0.5067467689067281,0.9936127003475506,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7418880887343763,0.3289540368796538,0.19661242112255065
27,0.0007406643660777667,66.94749093055725,0.7376308899254324,0.5067104456565547,0.9936102685989794,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7418880887343763,0.3288450671291335,0.19661242112255065
28,0.010412302734471515,66.49975109100342,0.7376246049987752,0.5067043949154916,0.9935660681630324,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7419064469069125,0.3288269149059446,0.19661242112255065
29,0.0014161227813065938,66.49506402015686,0.737600497128833,0.506649383077361,0.993562348587829,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7419064469069125,0.3286618793915528,0.19661242112255065
30,-0.0007409769613378336,66.4194860458374,0.7376190395432044,0.5066916949728489,0.9935652098019642,0.9946738487179797,0.9158263099015459,0.9919602252734607,0.7419064469069125,0.3287888150780164,0.19661242112255065
31,0.0075469375828841985,61.17077875137329,0.7374973230580247,0.5064089113118614,0.9935413016389537,0.9946495645977511,0.9158263099015459,0.9919621119902617,0.7419248039398266,0.3279647482152822,0.19661242112255065
32,0.013199361224574456,47.37671756744385,0.7372680486805575,0.5059006545261434,0.9934881726752313,0.9946009928375588,0.9158263099015459,0.9919657937582739,0.7418941008504211,0.32648854961832063,0.19661242112255065
33,-0.0158622459607675,47.44750618934631,0.7375387060319675,0.5065629168918978,0.9935501332362172,0.9946738487179797,0.9158263099015459,0.9919621119902617,0.7417436364200531,0.32840248083516316,0.19661242112255065
34,-0.0055410557749878565,47.52176213264465,0.7376370537520707,0.5067994129841665,0.9935674365851707,0.9946738487179797,0.9158263099015459,0.9919621119902617,0.7417052788350157,0.3291119691119691,0.19661242112255065
35,-0.000449598734852281,47.42912483215332,0.7375972472327531,0.5067068594281361,0.9935664516180388,0.9946738487179797,0.9158263099015459,0.9919621119902617,0.7417052788350157,0.32883430844387807,0.19661242112255065
36,0.00680934711963422,47.54608178138733,0.7375827243646969,0.5066599913318418,0.9935574460233721,0.9946495645977511,0.9158263099015459,0.9919563600674837,0.7417589805649507,0.3287179882752237,0.19661242112255065
37,0.005778911222669866,47.231791973114014,0.7376412905225088,0.5067705582389165,0.9935495444680286,0.9946252793043058,0.9158263099015459,0.9919657937582739,0.7418357108129635,0.329073974289893,0.19661242112255065
38,-0.003395790650948806,47.61769890785217,0.73769376495698,0.5069075701779654,0.9935595425324922,0.9946495645977511,0.9158263099015459,0.9919657937582739,0.7417819979726514,0.32946072481359456,0.19661242112255065
39,-0.007077251024187085,47.29005193710327,0.737788015691419,0.5071181867934698,0.993589208731162,0.9946495645977511,0.9158263099015459,0.9919563600674837,0.7417896707593327,0.33009257466010766,0.19661242112255065
40,0.01614357726324081,47.4744131565094,0.7376128209564687,0.5066844146544595,0.9935445462980113,0.9946009928375588,0.9158263099015459,0.9919715456819241,0.7418941008504211,0.32883983000326916,0.19661242112255065
41,-0.0022250591910848837,47.413536071777344,0.7376635469019714,0.5068022310309134,0.9935518390236983,0.9946252793043058,0.9158263099015459,0.991965885445395,0.7418941008504211,0.32916899266588384,0.19661242112255065
42,0.025730168822906765,47.286463022232056,0.7367400576931438,0.5046930651099186,0.993412059546372,0.9944672626238222,0.9158263099015459,0.9919657326323638,0.7418971064419685,0.32332546055739253,0.1962864721485411
