round,n_sampled,n_classes_present,ess_w,n_benign,n_bot,n_brute_force,n_ddos,n_dos,n_infiltration,n_web_attacks,wmass_benign,wmass_bot,wmass_brute_force,wmass_ddos,wmass_dos,wmass_infiltration,wmass_web_attacks
25,500,5,2281.7721498179794,10,0,0,24,3,382,81,0.01308467298643393,0.0005740638471832277,0.0005740638471832277,0.044821984215016215,0.0037647034768341263,0.7839868835857233,0.15319362804162506
26,500,5,2211.745642206036,6,0,0,23,3,390,78,0.013099365645183277,0.0005740485424576945,0.0005740485424576945,0.04610862458707045,0.003769793270736325,0.7787601761180444,0.15711394329405126
27,500,6,2146.556701067347,7,2,0,17,3,397,74,0.01311008034927177,0.0005740416117198917,0.0005740416117198917,0.0473553103776045,0.003772731019844115,0.7737173645396027,0.16089643049023686
28,500,6,2084.306153181027,3,1,0,23,2,390,81,0.013119120599729896,0.0005740385701316453,0.0005740385701316453,0.048594346329862065,0.003776956747016134,0.7687177535295154,0.1646437456536111
29,500,5,2021.0399886877094,11,0,0,20,2,388,79,0.013137834045912627,0.0005740472754312569,0.0005740472754312569,0.04991128913798073,0.003783358977316441,0.7634248866432816,0.16859453664464125
30,500,5,1960.7191334859617,5,0,0,34,1,386,74,0.013154690464114651,0.0005740456646317019,0.0005740456646317019,0.051221012898940294,0.003788080773912318,0.7581825821239061,0.1725055424098636
31,500,5,1903.8512872760462,6,0,0,25,3,383,83,0.013168396226594659,0.0005740418821563358,0.0005740418821563358,0.052507779236476176,0.0037906015619413327,0.753053366406649,0.17633177280402712
32,500,5,1847.8787062209365,5,0,0,29,3,371,92,0.013183630853519306,0.000574045421340281,0.000574045421340281,0.05383020351706372,0.0037924127625413814,0.7477946523945098,0.18025100962968577
33,500,6,1791.4510071915684,10,0,1,19,1,392,77,0.013210084056594063,0.0005740542557919861,0.0005740542557919861,0.05522573763388691,0.0037924024636404306,0.7422861694492533,0.18433749788503867
34,500,5,1743.4200367507615,5,0,0,29,1,381,84,0.013226621068175397,0.0005740341042217284,0.0005740341042217284,0.056462558388158494,0.00378055961638292,0.7374587455093256,0.18792344720951362
35,500,5,1700.0313667983241,7,0,1,18,0,385,89,0.013237769364474215,0.0005740238764286571,0.0005740238764286571,0.05762369835163883,0.0037632392780291993,0.7329657980963944,0.1912614471566068
36,500,5,1658.90446643118,8,0,1,31,0,364,96,0.013246802565136797,0.000574021417608686,0.000574021417608686,0.05876471832359553,0.0037439560198935873,0.728567947651226,0.19452853260493205
37,500,5,1617.9225564947458,9,0,0,23,3,379,86,0.013256558577409866,0.0005740264926010116,0.0005740264926010116,0.059943943579036034,0.003727391624409844,0.7240207797900328,0.19790327344390912
38,500,6,1577.9095699188872,3,0,1,33,2,363,98,0.013265904084438286,0.0005740288081401869,0.0005740288081401869,0.06113928134380619,0.0037101310992270135,0.719421225303222,0.20131540055302707
39,500,6,1540.8738719751802,5,1,0,30,3,355,106,0.013269315521243004,0.0005740228780696512,0.0005740228780696512,0.06228652487193602,0.003689916797190571,0.7150242744647197,0.2045819225887712
40,500,7,1508.5127149337882,10,1,1,34,4,357,93,0.01326510429741864,0.0005740084455910367,0.0005740084455910367,0.06332421064661668,0.0036652717065730435,0.7111009610620258,0.20749643539618912
41,500,5,1474.7416094465743,10,0,0,27,4,356,103,0.013261745451521128,0.0005740194183188491,0.0005740194183188491,0.06444110643003288,0.003637915978372071,0.7068709130827948,0.21064028022064263
42,500,5,1443.090350633463,8,0,0,28,2,353,109,0.01325582225452705,0.000574015357972944,0.000574015357972944,0.06552327933642457,0.0036087983121294515,0.7027924311673914,0.21367163821358148
43,500,5,1409.4891942133333,9,0,0,22,2,373,94,0.013252426346384398,0.0005740299755244819,0.0005740299755244819,0.06671856487096464,0.0035820441400759096,0.6982991260399332,0.2169997786515969
44,500,5,1380.7045413429241,4,0,1,32,0,356,107,0.013242947193432258,0.0005740119683775175,0.0005740119683775175,0.06777732836583225,0.00354938279521942,0.6943596179577816,0.21992269975098108
45,500,5,1353.3441441764066,5,0,0,34,1,366,94,0.013231914959109614,0.0005740098924835012,0.0005740098924835012,0.06881499638792468,0.0035157410150903207,0.6905117387714826,0.22277758908142425
46,500,6,1324.8218047665082,8,0,1,32,2,358,99,0.013230043872026464,0.0005740216577698348,0.0005740216577698348,0.06993379741503063,0.0034827277400512092,0.6864004196544882,0.22580496800286445
47,500,4,1297.7550920418676,9,0,0,31,0,364,96,0.013226102011823173,0.000574019665360996,0.000574019665360996,0.07102939124851183,0.0034487458890475682,0.682388069985812,0.228759651534083
48,500,6,1273.9979363499972,8,1,0,32,1,356,102,0.01321824366735797,0.0005740060398529415,0.0005740060398529415,0.07201862882699409,0.0034065208985429984,0.6787982898901794,0.23141030463721846
49,500,6,1250.320834360552,5,0,1,35,1,354,104,0.013210912839626832,0.0005740100843128672,0.0005740100843128672,0.07303291532690682,0.003366708153092506,0.6751116896334224,0.23412975387833088
50,500,5,1228.1932406022177,6,3,0,45,0,335,111,0.01320130615694987,0.0005740057646146836,0.0005740057646146836,0.07400786422828896,0.0033258013987723122,0.6715844594781342,0.2367325572086249
