budget,scenario,rows,class,recall
c0+sql_injection:50,brute_force_web,325,web_attacks,0.221538
c0+sql_injection:50,brute_force_xss,96,web_attacks,0.916667
c0+sql_injection:50,ddos_attack_hoic,206463,ddos,0.986695
c0+sql_injection:50,ddos_attack_loic_udp,690,ddos,1.0
c0+sql_injection:50,ddos_attacks_loic_http,57719,ddos,1.0
c0+sql_injection:50,dos_attacks_goldeneye,12260,dos,1.0
c0+sql_injection:50,dos_attacks_hulk,20016,dos,0.998751
c0+sql_injection:50,dos_attacks_slowhttptest,21110,dos,0.0
c0+sql_injection:50,dos_attacks_slowloris,7208,dos,0.922586
c0+sql_injection:50,ftp_bruteforce,77344,brute_force,1.0
c0+sql_injection:50,infilteration,37631,infiltration,0.320959
c0+sql_injection:50,sql_injection,88,web_attacks,0.920455
c0+sql_injection:50,ssh_bruteforce,37696,brute_force,0.0
c0+sql_injection:117,benign,3502926,benign,0.997483
c0+sql_injection:117,bot,41542,bot,0.995282
c0+sql_injection:117,brute_force_web,325,web_attacks,0.218462
c0+sql_injection:117,brute_force_xss,96,web_attacks,0.916667
c0+sql_injection:117,ddos_attack_hoic,206463,ddos,0.987911
c0+sql_injection:117,ddos_attack_loic_udp,690,ddos,1.0
c0+sql_injection:117,ddos_attacks_loic_http,57719,ddos,1.0
c0+sql_injection:117,dos_attacks_goldeneye,12260,dos,1.0
c0+sql_injection:117,dos_attacks_hulk,20016,dos,0.998751
c0+sql_injection:117,dos_attacks_slowhttptest,21110,dos,0.0
c0+sql_injection:117,dos_attacks_slowloris,7208,dos,0.922586
c0+sql_injection:117,ftp_bruteforce,77344,brute_force,1.0
c0+sql_injection:117,infilteration,37631,infiltration,0.321331
c0+sql_injection:117,sql_injection,88,web_attacks,0.931818
c0+sql_injection:117,ssh_bruteforce,37696,brute_force,0.0
