policy,true_class,predicted_class,rows
expert6_always,benign,bot,44
expert6_always,benign,brute_force,0
expert6_always,benign,ddos,10
expert6_always,benign,dos,132
expert6_always,benign,infiltration,806304
expert6_always,benign,web_attacks,2269
expert6_always,bot,benign,120
expert6_always,bot,bot,41367
expert6_always,bot,brute_force,0
expert6_always,bot,ddos,0
expert6_always,bot,dos,0
expert6_always,bot,infiltration,55
expert6_always,bot,web_attacks,0
expert6_always,brute_force,benign,0
expert6_always,brute_force,bot,0
expert6_always,brute_force,brute_force,37676
expert6_always,brute_force,ddos,0
expert6_always,brute_force,dos,0
expert6_always,brute_force,infiltration,20
expert6_always,brute_force,web_attacks,0
expert6_always,ddos,benign,0
expert6_always,ddos,bot,0
expert6_always,ddos,brute_force,0
expert6_always,ddos,ddos,262672
expert6_always,ddos,dos,0
expert6_always,ddos,infiltration,8
expert6_always,ddos,web_attacks,0
expert6_always,dos,benign,2
expert6_always,dos,bot,0
expert6_always,dos,brute_force,0
expert6_always,dos,ddos,0
expert6_always,dos,dos,38854
expert6_always,dos,infiltration,0
expert6_always,dos,web_attacks,627
expert6_always,infiltration,benign,1074
expert6_always,infiltration,bot,0
expert6_always,infiltration,brute_force,0
expert6_always,infiltration,ddos,0
expert6_always,infiltration,dos,0
expert6_always,infiltration,infiltration,7556
expert6_always,infiltration,web_attacks,112
expert6_always,web_attacks,benign,4
expert6_always,web_attacks,bot,0
expert6_always,web_attacks,brute_force,0
expert6_always,web_attacks,ddos,0
expert6_always,web_attacks,dos,1
expert6_always,web_attacks,infiltration,0
expert6_always,web_attacks,web_attacks,122
expert7_always,benign,benign,2139921
expert7_always,benign,bot,40
expert7_always,benign,brute_force,0
expert7_always,benign,ddos,5
expert7_always,benign,dos,4
expert7_always,benign,infiltration,508170
expert7_always,benign,web_attacks,4063
expert7_always,bot,benign,141
expert7_always,bot,bot,41358
expert7_always,bot,brute_force,0
expert7_always,bot,ddos,0
expert7_always,bot,dos,0
expert7_always,bot,infiltration,43
expert7_always,bot,web_attacks,0
expert7_always,brute_force,benign,20
expert7_always,brute_force,bot,0
expert7_always,brute_force,brute_force,37676
expert7_always,brute_force,ddos,0
expert7_always,brute_force,dos,0
expert7_always,brute_force,infiltration,0
expert7_always,brute_force,web_attacks,0
expert7_always,ddos,benign,16
expert7_always,ddos,bot,0
expert7_always,ddos,brute_force,0
expert7_always,ddos,ddos,262587
expert7_always,ddos,dos,0
expert7_always,ddos,infiltration,0
expert7_always,ddos,web_attacks,77
expert7_always,dos,benign,583
expert7_always,dos,bot,0
expert7_always,dos,brute_force,0
expert7_always,dos,ddos,0
expert7_always,dos,dos,38886
expert7_always,dos,infiltration,0
