model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows
expert7,7,bot,1,0.001,0.04794395082136037,0.0009981662656463495,0.9964476021314387,563,86836
expert7,7,bot,1,0.01,0.01051760750393838,0.009999455875467803,1.0,563,86836
expert7,7,brute_force,2,0.001,0.002023124816607584,0.0009976422491495944,1.0,15811,71588
expert7,7,brute_force,2,0.01,0.00044602027813839083,0.009996985223371923,1.0,15811,71588
expert7,7,ddos,3,0.001,0.002435570193694089,0.0009965464091863825,1.0,25740,61659
expert7,7,ddos,3,0.01,0.0003054755556815496,0.009971624963413622,1.0,25740,61659
expert7,7,dos,4,0.001,0.07996027560254045,0.0008298417399348183,1.0,14475,72924
expert7,7,dos,4,0.01,0.006378847653723966,0.00885311663434684,1.0,14475,72924
expert7,7,infiltration,5,0.001,0.9377790019383608,0.0009793098059789546,0.0,3280,84119
expert7,7,infiltration,5,0.01,0.7941595420301313,0.009982641893204832,0.02225609756097561,3280,84119
expert7,7,web_attacks,6,0.001,0.8801699565857994,0.0009886798509391036,0.013333333333333334,75,87324
expert7,7,web_attacks,6,0.01,0.14886094581796178,0.009974890158734028,0.7066666666666667,75,87324
expert8,8,benign,0,0.001,0.8065526411026852,0.0009999449973708866,0.512547805499909,27455,59944
expert8,8,benign,0,0.01,0.44381290374911964,0.009993507169847805,0.8296849389910763,27455,59944
expert8,8,bot,1,0.001,0.020508519906577,0.000990141613602993,1.0,563,86836
expert8,8,bot,1,0.01,0.005698016062018845,0.009997394275622878,1.0,563,86836
expert8,8,brute_force,2,0.001,0.00212134891743543,0.0009994941008554113,1.0,15811,71588
expert8,8,brute_force,2,0.01,0.0007939046846488582,0.009937489632538118,1.0,15811,71588
expert8,8,ddos,3,0.001,0.017724898888525246,0.0009697863018617573,1.0,25740,61659
expert8,8,ddos,3,0.01,0.0022861592627737037,0.009987858228308971,1.0,25740,61659
expert8,8,dos,4,0.001,0.05645861250645647,0.0009718591581955676,1.0,14475,72924
expert8,8,dos,4,0.01,0.0255129322117277,0.004164640486665486,1.0,14475,72924
expert8,8,infiltration,5,0.001,0.9488836517193728,0.0009793098059789546,0.0,3280,84119
expert8,8,infiltration,5,0.01,0.7638617584728977,0.009982641893204832,0.10548780487804878,3280,84119
expert8,8,web_attacks,6,0.001,0.14284893872550686,0.0009759543117279947,0.18666666666666668,75,87324
expert8,8,web_attacks,6,0.01,0.06838606448614144,0.00998310841190545,0.21333333333333335,75,87324
