method,bucket,cls,support,precision,recall,f1
xgboost_c0,unseen,bot,1859,0.9869745411486086,0.8967186659494352,0.939684329199549
xgboost_c0,unseen,brute_force,37573,0.9994145043246839,0.999467702871743,0.9994411028902965
xgboost_c0,unseen,ddos,186240,1.0,0.99821735395189,0.9991078818104625
xgboost_c0,unseen,dos,33161,0.9999698359073359,0.999698440939658,0.9998341200066352
xgboost_c0,unseen,infiltration,8983,0.10364776388263415,0.33307358343537796,0.1580977542932629
xgboost_c0,unseen,web_attacks,147,0.26683291770573564,0.7278911564625851,0.3905109489051095
tabpfn_plain,all,benign,2559666,0.9961500469762767,0.999931241029103,0.9980370626283864
tabpfn_plain,all,bot,41541,0.9999034189685145,0.9968946342167979,0.9983967597671083
tabpfn_plain,all,brute_force,37683,1.0,0.999469256694,0.9997345579061928
tabpfn_plain,all,ddos,263206,0.9999885681623321,0.9970213444982258,0.9985027519305368
tabpfn_plain,all,dos,39483,0.9996913262681346,0.9843223665881519,0.9919473193889662
tabpfn_plain,all,infiltration,9353,0.8807896735003796,0.12402437720517481,0.21743205248359887
tabpfn_plain,all,web_attacks,156,1.0,0.057692307692307696,0.10909090909090909
tabpfn_plain,seen_same_label,benign,873880,0.9997917753553548,0.9999931340687509,0.9998924445746298
tabpfn_plain,seen_same_label,bot,39682,1.0,1.0,1.0
tabpfn_plain,seen_same_label,brute_force,110,1.0,1.0,1.0
tabpfn_plain,seen_same_label,ddos,76966,1.0,1.0,1.0
tabpfn_plain,seen_same_label,dos,6322,0.9996837444655281,1.0,0.9998418472244188
tabpfn_plain,seen_same_label,infiltration,370,0.9800995024875622,0.5324324324324324,0.6900175131348512
tabpfn_plain,seen_same_label,web_attacks,9,0.0,0.0,0.0
tabpfn_plain,unseen,benign,1685786,0.9942724880052568,0.9998991568324805,0.9970778844356532
tabpfn_plain,unseen,bot,1859,0.9976931949250288,0.9306078536847767,0.9629835791817423
tabpfn_plain,unseen,brute_force,37573,1.0,0.999467702871743,0.9997337805819556
tabpfn_plain,unseen,ddos,186240,0.9999838239179549,0.9957903780068729,0.9978826954067673
tabpfn_plain,unseen,dos,33161,0.999692799213566,0.9813334941648322,0.9904280735927442
tabpfn_plain,unseen,infiltration,8983,0.8629032258064516,0.10720249359902037,0.190711951678384
tabpfn_plain,unseen,web_attacks,147,1.0,0.061224489795918366,0.11538461538461539
ours_c0,all,benign,2559666,0.9929874808078422,0.998535746460671,0.995753885064654
ours_c0,all,bot,41541,0.9999034003091191,0.9967020533930334,0.9983001603394857
ours_c0,all,brute_force,37683,1.0,0.999469256694,0.9997345579061928
ours_c0,all,ddos,263206,0.9999724164019955,0.964138355508613,0.9817285001354018
ours_c0,all,dos,39483,0.9998970584450678,0.9840437656713016,0.9919070717385754
ours_c0,all,infiltration,9353,0.30193387398627575,0.1552443066395809,0.20505578308148567
ours_c0,all,web_attacks,156,0.2348111658456486,0.9166666666666666,0.3738562091503268
ours_c0,seen_same_label,benign,873880,0.9998558182486037,0.9998752689156406,0.9998655434875273
ours_c0,seen_same_label,bot,39682,1.0,1.0,1.0
ours_c0,seen_same_label,brute_force,110,1.0,1.0,1.0
ours_c0,seen_same_label,ddos,76966,1.0,1.0,1.0
ours_c0,seen_same_label,dos,6322,0.9996837444655281,1.0,0.9998418472244188
ours_c0,seen_same_label,infiltration,370,0.8013245033112583,0.654054054054054,0.7202380952380952
ours_c0,seen_same_label,web_attacks,9,0.15517241379310345,1.0,0.26865671641791045
ours_c0,unseen,benign,1685786,0.98945691091725,0.9978413630199799,0.9936314498810789
ours_c0,unseen,bot,1859,0.9976825028968713,0.9263044647660033,0.9606694560669456
ours_c0,unseen,brute_force,37573,1.0,0.999467702871743,0.9997337805819556
ours_c0,unseen,ddos,186240,0.9999604090312656,0.9493180841924399,0.9739814019082876
ours_c0,unseen,dos,33161,0.9999385239602865,0.981001779198456,0.9903796389320182
ours_c0,unseen,infiltration,8983,0.26847126691812734,0.13469887565401314,0.1793921423276501
ours_c0,unseen,web_attacks,147,0.24319419237749546,0.9115646258503401,0.3839541547277937
distpfn,all,benign,2559666,0.9959093767214706,0.9987029557762614,0.9973042099579598
distpfn,all,bot,41541,0.9999032765082819,0.9954262054355938,0.9976597182011194
