round,n_sampled,n_classes_present,ess_w,n_benign,n_bot,n_brute_force,n_ddos,n_dos,n_infiltration,n_web_attacks,wmass_benign,wmass_bot,wmass_brute_force,wmass_ddos,wmass_dos,wmass_infiltration,wmass_web_attacks
40,500,7,1482.6728925215064,15,1,1,26,14,376,67,0.019720315728048138,0.000651947358423011,0.0005740803380989064,0.04932644645424798,0.020519131174024624,0.7511999799117205,0.1580080990354357
41,500,5,1444.9935581955854,14,0,0,19,12,371,84,0.019873775451134057,0.0006477940391704961,0.0005740683212267841,0.05029631018583565,0.01970785860653821,0.7485435978759412,0.16035659552015746
42,500,7,1407.4623722168942,12,1,1,25,12,361,88,0.020037450425451547,0.0006440389804851978,0.0005740732320027567,0.051312325107408435,0.018857525756615836,0.745778884951751,0.1627957015462845
43,500,6,1372.2118592123184,9,1,0,15,14,393,68,0.020199626961969707,0.0006404175186672148,0.0005740695850951225,0.0523055486849032,0.01804798302358989,0.7430620476211689,0.16517030660460774
44,500,6,1343.4321049277605,10,1,0,21,8,377,83,0.020338883989836708,0.0006365850407428806,0.0005740432385315119,0.05312979838013763,0.01745896523200056,0.74070689184627,0.16715483227248262
45,500,5,1315.3314477646084,9,0,0,30,10,384,67,0.020481377967120944,0.0006330209234900833,0.0005740448340000722,0.05396781375632215,0.016861282153950555,0.7383150745216827,0.16916738584343483
46,500,5,1286.9905445730417,11,0,0,28,9,371,81,0.020635413729783614,0.0006298451511290924,0.0005740516992922735,0.05485934868579614,0.01625910191657692,0.7357397155850287,0.17130252323239692
47,500,6,1259.8116236513356,10,1,0,27,6,388,68,0.020790284600443455,0.0006268376090707343,0.000574050768301329,0.05574993935081606,0.01566514602501024,0.7331719283496234,0.17342181329673784
48,500,7,1235.2496616635408,11,1,1,26,9,376,76,0.020935747194542366,0.0006238925325870608,0.00057404077137097,0.05657669422042745,0.015086720306174507,0.7308253406092645,0.17537756436563073
49,500,7,1207.8096395587386,7,1,1,31,8,367,85,0.02111126143757492,0.0006213976836889118,0.0005740589710520055,0.0575801568062559,0.014363380123552587,0.7279977494588343,0.17775199551904353
50,500,7,1185.359471381834,9,1,1,38,7,366,78,0.02125660111286201,0.0006189535041539552,0.0005740349967805339,0.05842306137600186,0.013789033033119482,0.7256434826237699,0.17969483335331135
