class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
motorcycle,100,0.2903225806451613,0.30833333333333335,0.36,0.37,0.32142857142857145,0.33636363636363636,0.014935064935064912,
mountain,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mouse,100,0.09821428571428571,0.08737864077669903,0.11,0.09,0.10377358490566038,0.08866995073891626,-0.015103634166744123,
mushroom,100,0.2727272727272727,0.36363636363636365,0.03,0.04,0.05405405405405406,0.07207207207207207,0.018018018018018014,
oak_tree,100,0.3710691823899371,0.36477987421383645,0.59,0.58,0.4555984555984556,0.44787644787644787,-0.007722007722007707,
orange,100,0.56,0.47368421052631576,0.14,0.18,0.224,0.2608695652173913,0.03686956521739129,
orchid,100,0.1903114186851211,0.20152091254752852,0.55,0.53,0.2827763496143959,0.29201101928374656,0.00923466966935066,
otter,100,0.07575757575757576,0.05737704918032787,0.1,0.07,0.08620689655172414,0.06306306306306306,-0.023143833488661086,
palm_tree,100,0.2231404958677686,0.22556390977443608,0.27,0.3,0.24434389140271492,0.2575107296137339,0.013166838211018966,
pear,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pickup_truck,100,0.17142857142857143,0.21568627450980393,0.18,0.22,0.17560975609756097,0.21782178217821782,0.042212026080656856,
pine_tree,100,0.1638418079096045,0.18181818181818182,0.29,0.3,0.20938628158844766,0.22641509433962265,0.017028812751174988,
plain,100,0.5942028985507246,0.5584415584415584,0.41,0.43,0.48520710059171596,0.4858757062146893,0.0006686056229733284,
plate,100,0.3902439024390244,0.3333333333333333,0.48,0.43,0.4304932735426009,0.37554585152838427,-0.05494742201421665,
poppy,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
porcupine,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
possum,100,0.07462686567164178,0.023809523809523808,0.1,0.03,0.08547008547008547,0.02654867256637168,-0.05892141290371379,
rabbit,100,0.1111111111111111,0.12195121951219512,0.13,0.15,0.11981566820276497,0.13452914798206278,0.014713479779297808,
raccoon,100,0.5,1.0,0.01,0.01,0.0196078431372549,0.019801980198019802,0.00019413706076490053,
ray,100,0.21138211382113822,0.21428571428571427,0.26,0.24,0.23318385650224216,0.22641509433962265,-0.006768762162619513,
road,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rocket,100,0.4864864864864865,0.5,0.18,0.22,0.26277372262773724,0.3055555555555556,0.04278183292781834,
rose,100,0.3787878787878788,0.37142857142857144,0.25,0.26,0.30120481927710846,0.3058823529411765,0.004677533664068034,
sea,100,0.25,0.26353790613718414,0.71,0.73,0.3697916666666667,0.38726790450928383,0.01747623784261715,
seal,100,0.1,0.05714285714285714,0.1,0.06,0.1,0.05853658536585366,-0.041463414634146344,
shark,100,0.2357142857142857,0.22556390977443608,0.33,0.3,0.275,0.2575107296137339,-0.01748927038626613,
shrew,100,0.09595959595959595,0.09644670050761421,0.19,0.19,0.12751677852348994,0.12794612794612795,0.00042934942263800346,
skunk,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
skyscraper,100,0.4523809523809524,0.4878048780487805,0.19,0.2,0.2676056338028169,0.28368794326241137,0.01608230945959449,
snail,100,0.0,0.5,0.0,0.01,0.0,0.0196078431372549,0.0196078431372549,
snake,100,0.10179640718562874,0.08875739644970414,0.17,0.15,0.12734082397003746,0.11152416356877323,-0.015816660401264226,
spider,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
squirrel,100,0.07394366197183098,0.0851063829787234,0.21,0.24,0.109375,0.1256544502617801,0.0162794502617801,
streetcar,100,0.125,0.1267605633802817,0.15,0.18,0.13636363636363635,0.1487603305785124,0.012396694214876047,
sunflower,100,0.7272727272727273,0.6666666666666666,0.08,0.04,0.14414414414414414,0.07547169811320754,-0.0686724460309366,
sweet_pepper,100,0.1320754716981132,0.12051282051282051,0.49,0.47,0.208067940552017,0.19183673469387755,-0.016231205858139447,
table,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tank,100,0.6666666666666666,0.6,0.02,0.03,0.038834951456310676,0.05714285714285714,0.018307905686546465,
telephone,100,0.18232044198895028,0.19662921348314608,0.33,0.35,0.23487544483985764,0.2517985611510791,0.01692311631122148,
television,100,0.15492957746478872,0.2265625,0.22,0.29,0.18181818181818182,0.2543859649122807,0.07256778309409889,
tiger,100,0.05113636363636364,0.06896551724137931,0.09,0.12,0.06521739130434782,0.08759124087591241,0.02237384957156459,
