arm,target,key,variant,class,ctx_rows,ctx_frac,support,f1,precision,recall,global_f1,delta_f1,macro_f1
contrastive,mitm,contrastive:mitm,prior_b0.5,ransomware,500,0.025,709,0.1385328018959388,0.07499416841614183,0.9069111424541608,0.1396551724137931,-0.0011223705178542986,0.6993291077435273
contrastive,mitm,contrastive:mitm,prior_b0.5,scanning,500,0.025,6029,0.006942148760330578,1.0,0.0034831647039310003,0.13841678150359824,-0.13147463274326765,0.6993291077435273
contrastive,mitm,contrastive:mitm,prior_b0.5,xss,500,0.025,343854,0.840134114171414,0.7347247758384817,0.9808552467035427,0.8069904524044945,0.03314366176691952,0.6993291077435273
contrastive,mitm,contrastive:mitm,prior_b1.0,backdoor,500,0.025,40030,0.9988385017922042,0.9987262419141337,0.9989507869098176,0.9987389659520807,9.953584012356576e-05,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,benign,14000,0.7,1474302,0.9063618786046576,0.991811611436495,0.8344681076197414,0.9119074559634021,-0.005545577358744502,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,ddos,500,0.025,103338,0.9578440185880148,0.9418642720172116,0.9743753507906094,0.9687004211144844,-0.010856402526469577,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,dos,500,0.025,22458,0.955753836273138,0.9855716921330243,0.92768723840057,0.9831090114983511,-0.027355175225213024,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,injection,500,0.025,68891,0.9042800586916199,0.8641937745558451,0.9482661015226953,0.9315305555360145,-0.027250496844394623,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,mitm,2000,0.1,1161,0.7196652719665272,0.7818181818181819,0.6666666666666666,0.06737937379056562,0.6522858981759616,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,password,500,0.025,210951,0.8241731852592543,0.7046986868989474,0.992429521547658,0.8909104384376754,-0.06673725317842105,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,ransomware,500,0.025,709,0.18480706004499048,0.10532544378698225,0.7531734837799718,0.1396551724137931,0.045151887631197374,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,scanning,500,0.025,6029,0.0,0.0,0.0,0.13841678150359824,-0.13841678150359824,0.7271381851428387
contrastive,mitm,contrastive:mitm,prior_b1.0,xss,500,0.025,343854,0.8196580402079815,0.7006949590186774,0.987276576686617,0.8069904524044945,0.01266758780348698,0.7271381851428387
enriched30,ransomware,enriched30:ransomware,raw,backdoor,1556,0.0963169297431136,40030,0.9941484141084096,0.9888534638293666,0.9995003747189608,0.9987389659520807,-0.004590551843671076,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,benign,1556,0.0963169297431136,1474302,0.8909985856068408,0.9982109256398086,0.8045827788336447,0.9119074559634021,-0.020908870356561304,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,ddos,1556,0.0963169297431136,103338,0.9790430311912052,0.9786596273412043,0.9794267355667808,0.9687004211144844,0.01034261007672077,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,dos,1556,0.0963169297431136,22458,0.8811873340466849,0.7938803199085975,0.9900703535488468,0.9831090114983511,-0.10192167745166614,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,injection,1556,0.0963169297431136,68891,0.8604982435785877,0.7738887471885362,0.9689364358189023,0.9315305555360145,-0.07103231195742676,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,mitm,1556,0.0963169297431136,1161,0.029241182394105874,0.01484021218786389,0.9879414298018949,0.06737937379056562,-0.03813819139645974,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,password,1556,0.0963169297431136,210951,0.8919293229861484,0.8070398317379657,0.9967765026001298,0.8909104384376754,0.001018884548472987,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,ransomware,2151,0.1331476323119777,709,0.09117249372223295,0.047766833085953316,0.998589562764457,0.1396551724137931,-0.04848267869156016,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,scanning,1556,0.0963169297431136,6029,0.2075026542408871,0.11770347734927397,0.8752695306020899,0.13841678150359824,0.06908587273728886,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,raw,xss,1556,0.0963169297431136,343854,0.8427619812861253,0.7601024859385739,0.9455931878064527,0.8069904524044945,0.03577152888163082,0.6668483243161228
enriched30,ransomware,enriched30:ransomware,prior_b0.5,backdoor,1556,0.0963169297431136,40030,0.9966868445308024,0.9938891096979332,0.9995003747189608,0.9987389659520807,-0.002052121421278308,0.8129228038063511
enriched30,ransomware,enriched30:ransomware,prior_b0.5,benign,1556,0.0963169297431136,1474302,0.9361052416331539,0.9935302485249636,0.8849557282022272,0.9119074559634021,0.024197785669751837,0.8129228038063511
enriched30,ransomware,enriched30:ransomware,prior_b0.5,ddos,1556,0.0963169297431136,103338,0.9745126423470373,0.9718677215068044,0.9771719986839305,0.9687004211144844,0.005812221232552872,0.8129228038063511
