beta,dataset,variant,roc,cross_entropy,accuracy,pred_time
0.5,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8784319999999999,0.4442832859002843,0.791,0.37074971199035645
0.5,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.7332911685144619,1.5048076981821468,0.469,1.023205041885376
0.5,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.98288,0.16527765115387477,0.937,1.0173327922821045
0.5,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8955599999999999,0.3783637301688251,0.791,0.5655102729797363
0.5,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.888292510295127,0.40228140863237755,0.817,0.6351728439331055
0.5,mfeat-zernike,distpfn,0.9822488888888887,0.3301255547742668,0.843,0.3942103385925293
0.5,connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.7617894956409964,0.7179715390260619,0.709,1.973132848739624
0.5,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.9983688420782635,0.04777266624654168,0.989,0.37679004669189453
0.5,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.810868,0.5390125047041457,0.723,0.9300858974456787
2.0,pollen,raw,0.4877096831358786,0.7557712734411559,0.48596673596673595,1.0027048587799072
2.0,Sick_numeric,raw,0.9378538285910687,0.15271402378147095,0.9406150583244963,1.4123713970184326
2.0,jungle_chess_2pcs_endgame_rat_rat,raw,1.0,2.2167567744096222e-05,1.0,0.5254673957824707
2.0,led24,raw,0.9532498452862006,0.8454332306137136,0.72375,0.5554120540618896
2.0,led7,raw,0.9565367692298571,0.8204723990504084,0.743125,1.2323830127716064
2.0,kr-vs-kp,raw,0.9990715816074273,0.0408626184165193,0.986232790988736,0.6243381500244141
2.0,splice,raw,0.99426632073106,0.1340706301215062,0.9598746081504702,3.99448299407959
2.0,space_ga,raw,0.945869837814916,0.3026107630879777,0.87001287001287,0.9291863441467285
2.0,seismic-bumps,raw,0.6508016959890832,0.3272827366886903,0.9063467492260062,0.6875946521759033
2.0,ozone-level-8hr,raw,0.8396798652064027,0.28460738824833187,0.8689818468823993,2.2454965114593506
2.0,jungle_chess_2pcs_endgame_lion_lion,raw,0.9985754985754985,0.04942075902341025,0.9812925170068028,0.7167797088623047
2.0,jungle_chess_2pcs_endgame_elephant_elephant,raw,1.0,5.5116868545098045e-05,1.0,0.4525127410888672
2.0,segment,raw,0.9991875464602736,0.060428452346926335,0.9774891774891775,0.643319845199585
2.0,Titanic,raw,0.7454226679737577,1.006715556067534,0.32334241598546776,0.2850682735443115
2.0,quake,raw,0.5176115019465883,0.8310398159027765,0.494949494949495,0.5313355922698975
2.0,kc1,raw,0.6272146413931606,0.9113995772357362,0.7355450236966825,1.1092462539672852
2.0,balloon,raw,0.8633134963965932,1.1890878605462027,0.5824175824175825,0.3414490222930908
2.0,mfeat-fourier,raw,0.9900755555555556,0.30866210967578317,0.868,1.278808355331421
2.0,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.7708492148193321,0.5060880195762469,0.779,1.2564232349395752
2.0,mfeat-karhunen,raw,0.9997288888888889,0.06445851970770336,0.983,1.214303731918335
2.0,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8290519999999999,0.5112556550073978,0.744,1.0514094829559326
2.0,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8784319999999999,0.44386820684151806,0.787,0.3721027374267578
2.0,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.6880890780308997,2.410289278827817,0.236,0.4054844379425049
2.0,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.98288,0.16525637079794953,0.936,1.0157818794250488
2.0,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8955599999999999,0.37642817708543785,0.793,0.565481424331665
2.0,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8276960363761152,0.543236137782729,0.741,0.6276407241821289
2.0,mfeat-zernike,raw,0.9822988888888888,0.32928474305929617,0.845,0.3938760757446289
2.0,connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.6717327738486277,1.4742635118244933,0.3,0.7079479694366455
2.0,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.9981444075730614,0.0494949455642247,0.989,0.8166062831878662
2.0,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.810868,0.5349916248719924,0.725,0.9260683059692383
2.0,pollen,distpfn,0.4877096831358786,0.7558434626726227,0.4911642411642412,1.1134796142578125
2.0,Sick_numeric,distpfn,0.9378538285910687,0.451834267492079,0.9390243902439024,1.4173343181610107
2.0,jungle_chess_2pcs_endgame_rat_rat,distpfn,1.0,2.3518995948075503e-05,1.0,0.5300960540771484
2.0,led24,distpfn,0.9531558665313392,0.847856016068462,0.718125,0.4411201477050781
2.0,led7,distpfn,0.9566592015569843,0.8159953931541463,0.743125,1.1512939929962158
2.0,kr-vs-kp,distpfn,0.9990715816074273,0.04295528014140056,0.9843554443053817,0.529430627822876
2.0,splice,distpfn,0.9943151148737285,0.1092337917257077,0.9736677115987461,4.013556957244873
2.0,space_ga,distpfn,0.945869837814916,0.3025779342752693,0.8706563706563707,0.9311015605926514
2.0,seismic-bumps,distpfn,0.6508016959890832,0.66597673842937,0.9342105263157895,0.68959641456604
2.0,ozone-level-8hr,distpfn,0.8396798652064027,0.404943893681112,0.9368587213891081,2.249534845352173
2.0,jungle_chess_2pcs_endgame_lion_lion,distpfn,0.9985754985754985,0.0502836526898631,0.9846938775510204,0.7355067729949951
2.0,jungle_chess_2pcs_endgame_elephant_elephant,distpfn,1.0,0.00016715065286737054,1.0,0.685988187789917
2.0,segment,distpfn,0.9991892955529319,0.06047113531523712,0.9774891774891775,0.6478152275085449
2.0,Titanic,distpfn,0.7454226679737577,0.8754047210848825,0.45594913714804725,0.29192543029785156
2.0,quake,distpfn,0.5176115019465883,0.8115464625482524,0.5289256198347108,0.5486161708831787
2.0,kc1,distpfn,0.6272146413931606,1.126968055262694,0.8113744075829384,1.1075365543365479
