backbone,selector,primary,class,n,argmin_correct,avg_correct,oracle_view_correct,score_mean_a100,recall_a100,pick_share_a100,score_mean_a050,recall_a050,pick_share_a050,score_mean_a000,recall_a000,pick_share_a000
tabpfn,nmargin,False,infiltration,37630,0.3967,0.3984,0.4751,-3.424,0.3957,0.6145,-1.7733,0.3981,0.0614,-2.5698,0.4642,0.3241
tabpfn,nmargin,False,web_attacks,507,0.355,0.357,0.5858,-2.5096,0.0809,0.643,-1.2862,0.2091,0.0039,-2.0212,0.5799,0.3531
xgb,energy,True,__all__,4023102,0.9844,0.975,0.9856,-6.3674,0.9845,0.9814,-4.7421,0.9737,0.0019,-4.1289,0.9444,0.0167
xgb,energy,True,benign,3502925,0.9947,0.9836,0.9949,-6.1348,0.9949,0.9977,-4.3628,0.9821,0.0003,-3.6735,0.9476,0.002
xgb,energy,True,bot,41540,1.0,1.0,1.0,-9.6078,0.9998,0.9947,-9.0606,1.0,0.0012,-8.9734,1.0,0.0041
xgb,energy,True,brute_force,115038,1.0,1.0,1.0,-5.4758,1.0,0.6729,-4.8634,1.0,0.0192,-4.7062,1.0,0.3079
xgb,energy,True,ddos,264869,0.9992,1.0,1.0,-9.2356,0.9992,0.9658,-8.6026,1.0,0.0008,-8.5474,1.0,0.0334
xgb,energy,True,dos,60593,0.6516,0.6516,0.6516,-7.2476,0.6513,0.8615,-6.804,0.6516,0.0684,-6.7038,0.6515,0.0701
xgb,energy,True,infiltration,37630,0.4003,0.417,0.5029,-5.5931,0.3998,0.6983,-4.4312,0.4198,0.0015,-4.1627,0.5029,0.3002
xgb,energy,True,web_attacks,507,0.3629,0.4379,0.7475,-4.2565,0.3215,0.6371,-4.2428,0.6588,0.0631,-4.1531,0.714,0.2998
xgb,nmaxp,False,__all__,4023102,0.9844,0.975,0.9856,-6.3515,0.9845,0.9813,-4.6784,0.9737,0.002,-3.909,0.9444,0.0167
xgb,nmaxp,False,benign,3502925,0.9947,0.9836,0.9949,-6.1237,0.9949,0.9976,-4.2998,0.9821,0.0003,-3.4354,0.9476,0.002
xgb,nmaxp,False,bot,41540,1.0,1.0,1.0,-9.6074,0.9998,0.9946,-9.0605,1.0,0.0012,-8.9734,1.0,0.0042
xgb,nmaxp,False,brute_force,115038,1.0,1.0,1.0,-5.3135,1.0,0.6729,-4.6489,1.0,0.0192,-4.4392,1.0,0.3079
xgb,nmaxp,False,ddos,264869,0.9992,1.0,1.0,-9.2339,0.9992,0.9658,-8.6,1.0,0.0008,-8.5464,1.0,0.0334
xgb,nmaxp,False,dos,60593,0.6516,0.6516,0.6516,-7.1634,0.6513,0.8614,-6.6928,0.6516,0.0684,-6.5654,0.6515,0.0702
xgb,nmaxp,False,infiltration,37630,0.4006,0.417,0.5029,-5.5744,0.3998,0.696,-4.3389,0.4198,0.003,-3.8667,0.5029,0.301
xgb,nmaxp,False,web_attacks,507,0.3609,0.4379,0.7475,-3.9871,0.3215,0.6351,-3.9369,0.6588,0.0592,-3.8934,0.714,0.3057
xgb,nmargin,False,__all__,4023102,0.9757,0.975,0.9856,-6.8694,0.9845,0.8882,-5.063,0.9737,0.001,-3.8202,0.9444,0.1109
xgb,nmargin,False,benign,3502925,0.9845,0.9836,0.9949,-6.6348,0.9949,0.9836,-4.5257,0.9821,0.001,-3.0331,0.9476,0.0154
xgb,nmargin,False,bot,41540,1.0,1.0,1.0,-10.1953,0.9998,0.0,-11.0112,1.0,0.001,-11.765,1.0,0.999
xgb,nmargin,False,brute_force,115038,1.0,1.0,1.0,-4.2945,1.0,0.6723,-4.3727,1.0,0.0,-4.489,1.0,0.3277
xgb,nmargin,False,ddos,264869,1.0,1.0,1.0,-10.7873,0.9992,0.0161,-11.0639,1.0,0.0002,-11.7146,1.0,0.9837
xgb,nmargin,False,dos,60593,0.6516,0.6516,0.6516,-7.0283,0.6513,0.39,-7.499,0.6516,0.0022,-7.9363,0.6515,0.6077
xgb,nmargin,False,infiltration,37630,0.4143,0.417,0.5029,-5.1297,0.3998,0.5847,-4.4994,0.4198,0.0034,-4.0924,0.5029,0.4119
xgb,nmargin,False,web_attacks,507,0.3846,0.4379,0.7475,-2.7531,0.3215,0.6095,-2.4003,0.6588,0.0789,-2.6284,0.714,0.3116
