arm,tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,helpful,harmful,changed,feasible,reason
decision_post_raw,0.7113578915596008,0.21494646966457345,0.01679809426131118,0.04014841740674863,0.007256438969763912,1021,162,1183,False,benign_fpr
decision_post_raw,0.7113578915596008,0.6335415244102478,0.018095210640412307,0.042246499471274346,0.0013437849944006874,764,30,794,False,benign_fpr
decision_post_raw,0.7113578915596008,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.7113578915596008,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.7113578915596008,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.7113578915596008,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.7113578915596008,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.7113578915596008,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.7271060764789583,0.0,0.0062327367516652465,0.021932355793134684,0.045733482642769996,1757,1021,2778,False,benign_fpr
decision_post_raw,0.7271060764789583,0.0002867408038582,0.006243337574667329,0.021934535083231288,0.045599104143330016,1753,1018,2771,False,benign_fpr
decision_post_raw,0.7271060764789583,0.0053338916040956,0.006435601572791216,0.022169268251717944,0.044344904815222685,1729,990,2719,False,benign_fpr
decision_post_raw,0.7271060764789583,0.0190883897244928,0.007183692415304477,0.02330635963882377,0.04080627099663414,1686,911,2597,False,benign_fpr
decision_post_raw,0.7271060764789583,0.025076736696064472,0.007551391788508055,0.02384363707376408,0.0389249720044732,1656,869,2525,False,benign_fpr
decision_post_raw,0.7271060764789583,0.21494646966457345,0.01700541001839795,0.040532009256707024,0.006629339305710191,999,148,1147,False,benign_fpr
decision_post_raw,0.7271060764789583,0.6335415244102478,0.018095210640412307,0.042246499471274346,0.0013437849944006874,764,30,794,False,benign_fpr
decision_post_raw,0.7271060764789583,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.7271060764789583,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.7271060764789583,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.7271060764789583,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.7271060764789583,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.7271060764789583,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.7669686377048492,0.0,0.009777190279613657,0.026992569790443288,0.026741321388573658,1397,597,1994,False,benign_fpr
decision_post_raw,0.7669686377048492,0.0002867408038582,0.009814779925383266,0.027064839450462452,0.0266517357222803,1397,595,1992,False,benign_fpr
decision_post_raw,0.7669686377048492,0.0053338916040956,0.009943259426266615,0.027253093390809835,0.025979843225080068,1381,580,1961,False,benign_fpr
decision_post_raw,0.7669686377048492,0.0190883897244928,0.010602022748225637,0.0284423205263169,0.023919372900332303,1356,534,1890,False,benign_fpr
decision_post_raw,0.7669686377048492,0.025076736696064472,0.010829506913170861,0.02884546499027585,0.02315789473683849,1344,517,1861,False,benign_fpr
decision_post_raw,0.7669686377048492,0.21494646966457345,0.01809555888701253,0.04273553021629661,0.004524076147815692,942,101,1043,False,benign_fpr
decision_post_raw,0.7669686377048492,0.6335415244102478,0.018151539725948518,0.042370408925454905,0.0012989921612540645,764,29,793,False,benign_fpr
decision_post_raw,0.7669686377048492,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.7669686377048492,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.7669686377048492,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.7669686377048492,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.7669686377048492,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.7669686377048492,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.788898766040802,0.0,0.012268339407566109,0.031121109794233326,0.016573348264275256,1172,370,1542,False,benign_fpr
decision_post_raw,0.788898766040802,0.0002867408038582,0.012294099328094887,0.03117357526954001,0.016528555431128522,1172,369,1541,False,benign_fpr
decision_post_raw,0.788898766040802,0.0053338916040956,0.012480690128311878,0.03151992576673052,0.01599104143336816,1162,357,1519,False,benign_fpr
decision_post_raw,0.788898766040802,0.0190883897244928,0.013085065253833572,0.032719606433396664,0.014736842105260939,1150,329,1479,False,benign_fpr
decision_post_raw,0.788898766040802,0.025076736696064472,0.01334878898734404,0.03323085381873431,0.014109742441207218,1140,315,1455,False,benign_fpr
decision_post_raw,0.788898766040802,0.21494646966457345,0.017985138718694893,0.042355497817955556,0.0037178051511752574,891,83,974,False,benign_fpr
decision_post_raw,0.788898766040802,0.6335415244102478,0.018208124539514703,0.04249491541520334,0.0012541993281073305,764,28,792,False,benign_fpr
decision_post_raw,0.788898766040802,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.788898766040802,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.788898766040802,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.788898766040802,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.788898766040802,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.788898766040802,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.819178283214569,0.0,0.014709835681122274,0.03544784692030528,0.008152295632697704,943,182,1125,False,benign_fpr
decision_post_raw,0.819178283214569,0.0002867408038582,0.014746473932841231,0.03552575960723514,0.008107502799550859,943,181,1124,False,benign_fpr
decision_post_raw,0.819178283214569,0.0053338916040956,0.014905177599966568,0.03584462361886437,0.007793952967524165,937,174,1111,False,benign_fpr
