model,class,AP,R_at_FPR_001,R_at_FPR_01
matched_random_e3_calibrated,benign,0.9993850364692227,0.5895808126301041,0.8322055287623157
matched_random_e3_calibrated,bot,0.9972835912554895,0.9971113571806846,0.9971113571806846
matched_random_e3_calibrated,brute_force,0.9999781546927952,0.9998938879456706,1.0
matched_random_e3_calibrated,ddos,0.9999990121601646,1.0,1.0
matched_random_e3_calibrated,dos,0.9999454831815813,0.9998986905756908,1.0
matched_random_e3_calibrated,infiltration,0.13034574178708916,0.1369251887439945,0.17616106154198125
matched_random_e3_calibrated,web_attacks,0.24764888973680155,0.9606299212598425,0.9921259842519685
matched_random_e4_raw,benign,0.9995301262200338,0.6138926771442458,0.909546139567748
matched_random_e4_raw,bot,0.997553408932555,0.9971113571806846,0.9971113571806846
matched_random_e4_raw,brute_force,0.9999992620175703,1.0,1.0
matched_random_e4_raw,ddos,0.9999999289686102,1.0,1.0
matched_random_e4_raw,dos,0.9999153679727921,0.9998986905756908,1.0
matched_random_e4_raw,infiltration,0.15879054272780815,0.14436055822466254,0.19789521848547242
matched_random_e4_raw,web_attacks,0.2151854984755119,0.9606299212598425,0.9921259842519685
matched_random_e4_calibrated,benign,0.9995274258362827,0.6138432842433252,0.9081231715671839
matched_random_e4_calibrated,bot,0.9975303682697154,0.9971113571806846,0.9971113571806846
matched_random_e4_calibrated,brute_force,0.9999992985309327,1.0,1.0
matched_random_e4_calibrated,ddos,0.9999999336546723,1.0,1.0
matched_random_e4_calibrated,dos,0.9999011298117177,0.9998986905756908,1.0
matched_random_e4_calibrated,infiltration,0.15845464897160652,0.14436055822466254,0.19675131548844657
matched_random_e4_calibrated,web_attacks,0.2135252145942173,0.9606299212598425,0.9921259842519685
