arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
matched_random,4,global,93838,9,0.26148818224580184,0.2905424247175576,0.5902406274643535
matched_random,4,e1,93838,9,0.3361876581096804,0.37354184234408927,0.41807157015281654
matched_random,4,e2,93838,9,0.15404796464057596,0.17116440515619552,0.1887081992369829
matched_random,4,e3,93838,9,0.27438531300059327,0.3048725700006592,0.5786035508003154
matched_random,4,e4,93838,9,0.2790075259109829,0.31000836212331434,0.33579147040644514
matched_random,4,region_constant,93838,9,0.04426003684463844,0.049177818716264934,0.2841919051983205
balanced_random,1,global,2156705,10,0.6620512786537761,0.6620512786537761,0.9171194020508137
balanced_random,1,e1,2156705,10,0.7139735444617157,0.7139735444617157,0.9175473697144486
balanced_random,1,e2,2156705,10,0.6936670288079158,0.6936670288079158,0.9171824612081856
balanced_random,1,e3,2156705,10,0.69016445016863,0.69016445016863,0.9161456944737458
balanced_random,1,e4,2156705,10,0.6875366084287393,0.6875366084287393,0.9189481176146019
balanced_random,1,region_constant,2156705,10,0.025619632239149665,0.025619632239149665,0.14691809960101174
balanced_random,2,global,8154,9,0.17577504815428954,0.1953056090603217,0.28121167525141033
balanced_random,2,e1,8154,9,0.3893938764485945,0.4326598627206606,0.8197203826342899
balanced_random,2,e2,8154,9,0.31128055654806336,0.34586728505340375,0.8121167525141035
balanced_random,2,e3,8154,9,0.31546147437459193,0.3505127493051022,0.7663723325974982
balanced_random,2,e4,8154,9,0.38556604072957124,0.4284067119217458,0.7985038018150601
balanced_random,2,region_constant,8154,9,0.074030588598795,0.08225620955421667,0.5876870247731175
balanced_random,3,global,13026,4,0.05140744050024605,0.12851860125061512,0.2815138952863504
balanced_random,3,e1,13026,4,0.15560149939233145,0.38900374848082864,0.28258866881621375
balanced_random,3,e2,13026,4,0.05168967349441182,0.12922418373602956,0.28327959465684016
balanced_random,3,e3,13026,4,0.05137571781653753,0.12843929454134384,0.28113004759711346
balanced_random,3,e4,13026,4,0.05160297538515209,0.12900743846288024,0.2827422078919085
balanced_random,3,region_constant,13026,4,0.009449970743124635,0.023624926857811587,0.049593121449408875
balanced_random,4,global,93838,9,0.26148818224580184,0.2905424247175576,0.5902406274643535
balanced_random,4,e1,93838,9,0.27554411124305445,0.3061601236033938,0.3395426159977834
balanced_random,4,e2,93838,9,0.09335583586079184,0.10372870651199093,0.18315607749525778
balanced_random,4,e3,93838,9,0.2064336158195827,0.22937068424398077,0.4160787740574181
balanced_random,4,e4,93838,9,0.17541392547354767,0.19490436163727518,0.21818453078710118
balanced_random,4,region_constant,93838,9,0.04426003684463844,0.049177818716264934,0.2841919051983205
