model,class,support,TP,FP,FN,f1
designed_validation_region_reference,ddos,262680,262571,20,109,0.9997544124842225
designed_validation_region_reference,dos,39483,38871,17,612,0.9919740720419543
designed_validation_region_reference,infiltration,8742,6728,488797,2014,0.026684276385327613
designed_validation_region_reference,web_attacks,127,113,476,14,0.31564245810055863
designed_region_constant,benign,2652203,2608349,347479,43854,0.9302191803148021
designed_region_constant,bot,41542,0,0,41542,0.0
designed_region_constant,brute_force,37696,0,0,37696,0.0
designed_region_constant,ddos,262680,0,0,262680,0.0
designed_region_constant,dos,39483,38862,46699,621,0.6215732062314065
designed_region_constant,infiltration,8742,0,0,8742,0.0
designed_region_constant,web_attacks,127,118,966,9,0.1948802642444261
matched_random_e1_raw,benign,2652203,2651138,10441,1065,0.9978346872340642
matched_random_e1_raw,bot,41542,41417,4,125,0.9984450899798706
matched_random_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_raw,ddos,262680,259297,3,3383,0.9935131614238093
matched_random_e1_raw,dos,39483,38862,13,621,0.9919089308047678
matched_random_e1_raw,infiltration,8742,2504,943,6238,0.41086225285093114
matched_random_e1_raw,web_attacks,127,49,126,78,0.32450331125827814
matched_random_e1_calibrated,benign,2652203,2651138,10441,1065,0.9978346872340642
matched_random_e1_calibrated,bot,41542,41417,4,125,0.9984450899798706
matched_random_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e1_calibrated,ddos,262680,259297,3,3383,0.9935131614238093
matched_random_e1_calibrated,dos,39483,38862,13,621,0.9919089308047678
matched_random_e1_calibrated,infiltration,8742,2504,943,6238,0.41086225285093114
matched_random_e1_calibrated,web_attacks,127,49,126,78,0.32450331125827814
matched_random_e2_raw,benign,2652203,2560010,6513,92193,0.98108618846822
matched_random_e2_raw,bot,41542,41422,54,120,0.997904068997085
matched_random_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e2_raw,ddos,262680,262663,16,17,0.9999371858100842
matched_random_e2_raw,dos,39483,38869,15,614,0.9919736623834011
matched_random_e2_raw,infiltration,8742,2454,90757,6288,0.04813982913695526
matched_random_e2_raw,web_attacks,127,122,1902,5,0.11343561134356113
matched_random_e2_calibrated,benign,2652203,2560010,6513,92193,0.98108618846822
matched_random_e2_calibrated,bot,41542,41422,54,120,0.997904068997085
matched_random_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e2_calibrated,ddos,262680,262663,16,17,0.9999371858100842
matched_random_e2_calibrated,dos,39483,38869,15,614,0.9919736623834011
matched_random_e2_calibrated,infiltration,8742,2454,90757,6288,0.04813982913695526
matched_random_e2_calibrated,web_attacks,127,122,1902,5,0.11343561134356113
matched_random_e3_raw,benign,2652203,2017454,1259,634749,0.8638365579685012
matched_random_e3_raw,bot,41542,41422,24,120,0.9982648093700294
matched_random_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e3_raw,ddos,262680,262581,18,99,0.9997772612268908
matched_random_e3_raw,dos,39483,38868,31,615,0.9917583118573142
matched_random_e3_raw,infiltration,8742,7816,633658,926,0.02404124167968798
matched_random_e3_raw,web_attacks,127,87,1579,40,0.09704406023424428
matched_random_e3_calibrated,benign,2652203,2017454,1259,634749,0.8638365579685012
matched_random_e3_calibrated,bot,41542,41422,24,120,0.9982648093700294
matched_random_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e3_calibrated,ddos,262680,262581,18,99,0.9997772612268908
matched_random_e3_calibrated,dos,39483,38868,31,615,0.9917583118573142
matched_random_e3_calibrated,infiltration,8742,7816,633658,926,0.02404124167968798
matched_random_e3_calibrated,web_attacks,127,87,1579,40,0.09704406023424428
matched_random_e4_raw,benign,2652203,2118669,1530,533534,0.88788371138894
matched_random_e4_raw,bot,41542,41422,79,120,0.9976036511205039
matched_random_e4_raw,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e4_raw,ddos,262680,262677,37,3,0.9999238666600685
matched_random_e4_raw,dos,39483,38871,128,612,0.9905710863637522
matched_random_e4_raw,infiltration,8742,7187,530544,1555,0.02630322083616208
matched_random_e4_raw,web_attacks,127,124,3529,3,0.0656084656084656
matched_random_e4_calibrated,benign,2652203,2118669,1530,533534,0.88788371138894
matched_random_e4_calibrated,bot,41542,41422,79,120,0.9976036511205039
matched_random_e4_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_e4_calibrated,ddos,262680,262677,37,3,0.9999238666600685
matched_random_e4_calibrated,dos,39483,38871,128,612,0.9905710863637522
matched_random_e4_calibrated,infiltration,8742,7187,530544,1555,0.02630322083616208
matched_random_e4_calibrated,web_attacks,127,124,3529,3,0.0656084656084656
matched_random_fixed_region,benign,2652203,2606857,9015,45346,0.9896810504785903
matched_random_fixed_region,bot,41542,41417,6,125,0.9984210209124329
matched_random_fixed_region,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_fixed_region,ddos,262680,259300,8,3380,0.9935094293355403
matched_random_fixed_region,dos,39483,38868,14,615,0.9919734575384419
matched_random_fixed_region,infiltration,8742,3292,44650,5450,0.11615270623103521
matched_random_fixed_region,web_attacks,127,121,1249,6,0.16165664662658652
matched_random_validation_region_reference,benign,2652203,2640992,8426,11211,0.9962960385135037
matched_random_validation_region_reference,bot,41542,41422,5,120,0.9984934132025214
matched_random_validation_region_reference,brute_force,37696,37676,0,20,0.9997346494719525
matched_random_validation_region_reference,ddos,262680,260395,6,2285,0.9956201811956465
matched_random_validation_region_reference,dos,39483,38871,27,612,0.9918475140659089
matched_random_validation_region_reference,infiltration,8742,2840,10764,5902,0.25418419403920167
matched_random_validation_region_reference,web_attacks,127,118,931,9,0.20068027210884354
matched_random_region_constant,benign,2652203,2608349,347479,43854,0.9302191803148021
matched_random_region_constant,bot,41542,0,0,41542,0.0
matched_random_region_constant,brute_force,37696,0,0,37696,0.0
matched_random_region_constant,ddos,262680,0,0,262680,0.0
matched_random_region_constant,dos,39483,38862,46699,621,0.6215732062314065
matched_random_region_constant,infiltration,8742,0,0,8742,0.0
matched_random_region_constant,web_attacks,127,118,966,9,0.1948802642444261
