mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate
gaussian,2.0,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,infiltration,0.6809691190719604,0.5520689655172414
gaussian,2.0,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9554622769355774,0.0
gaussian,2.0,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7247267961502075,0.7277777777777776
gaussian,2.0,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9428794980049133,0.3277777777777778
gaussian,2.0,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ftp-patator,0.9978039860725403,0.4833333333333334
gaussian,2.0,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.8206992149353027,0.7833333333333334
gaussian,2.0,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,infiltration,0.6760972738265991,0.55
gaussian,2.0,bot,5,Benign,False,benign,0.9559530019760132,benign,0.950680136680603,0.0
gaussian,2.0,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-goldeneye,0.7036763429641724,0.9
gaussian,2.0,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,portscan,0.9610074758529663,0.6799999999999999
gaussian,2.0,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9977405667304993,0.42000000000000004
gaussian,2.0,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8312875032424927,0.26
gaussian,2.0,bot,5,Tail,False,infiltration,0.9367480278015137,web-attack-�-sql-injection,0.6762410998344421,0.6
mask,0.05,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9985653758049011,0.0
mask,0.05,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-slowloris,0.8082550168037415,0.11292162698412697
mask,0.05,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,ddos,0.9917653799057007,0.02185019841269841
mask,0.05,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9973357915878296,7.44047619047619e-05
mask,0.05,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8196285367012024,0.06669146825396824
mask,0.05,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,web-attack-�-sql-injection,0.721633791923523,0.0767609126984127
mask,0.05,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9622154235839844,0.0
mask,0.05,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.9907518625259399,0.009210526315789475
mask,0.05,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9929598569869995,0.023157894736842106
mask,0.05,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9973147511482239,0.0
mask,0.05,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.6991552710533142,0.08947368421052632
mask,0.05,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,web-attack-�-sql-injection,0.7801152467727661,0.04078947368421053
mask,0.05,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.954919159412384,0.0
mask,0.05,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-slowloris,0.9036203622817993,0.0706896551724138
mask,0.05,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9989908337593079,0.0010344827586206897
