condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted,recall_upper_bound,individual_f1_upper_not_joint
0,fixed_call_bank_oracle,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283531,0.9997346494719525,0.0,0,0,0,0,0.9994694397283531,0.9997346494719525
1,global,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,0,0,,
2,fixed_region,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert1_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert2_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert3_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert4_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert5_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert6_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert7_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
3,expert8_always,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,37696,37696,,
4,scorer_only,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,0,0,,
5,scorer_verifier,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283532,0.9997346494719525,0.0,0,0,0,0,,
6,bank_oracle,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283531,0.9997346494719525,0.0,0,0,37696,0,0.9994694397283531,0.9997346494719525
0,fixed_call_bank_oracle,infiltration,8742,2733,3948,6009,3029783,0.409070498428379,0.3126286890871654,0.35440575763470145,0.0013013678536429236,0,0,0,0,0.3126286890871654,0.35440575763470145
1,global,infiltration,8742,2733,3948,6009,3029783,0.409070498428379,0.3126286890871654,0.3544057576347014,0.0013013678536429,0,0,0,0,,
2,fixed_region,infiltration,8742,3796,75491,4946,2958240,0.0478767010985407,0.4342255776710135,0.0862443058537527,0.0248838806077401,1067,4,8742,8742,,
3,expert1_always,infiltration,8742,6791,486692,1951,2547039,0.0137613656397484,0.7768245252802563,0.0270436557319926,0.160426880300198,4083,25,8742,8742,,
