expert,threshold,objective,owned_accept_rate,mean_owned_class_accept_rate,min_owned_class_accept_rate,benign_accept_rate,non_owned_attack_accept_rate,owned_local_acc_given_accept,floor_shortfall,owned_support,benign_support,non_owned_attack_support
Credential_Web_Like_Known,1.299424409866333,-1.5939338630499762,0.9996873045653534,0.9991721854304636,0.9966887417218543,0.7672998131787078,0.2912066089443165,0.9571473256177666,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3496614694595337,-1.533111488319134,0.9996873045653534,0.9991721854304636,0.9966887417218543,0.7500309574187435,0.2821908014933672,0.9571473256177666,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3550746440887451,-1.5302964273487083,0.9993746091307066,0.9972491085073867,0.9923076923076923,0.7488222721130188,0.28107871951703867,0.9574468085106383,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3566040992736816,-1.5288419811065133,0.9993746091307066,0.9972491085073867,0.9923076923076923,0.7484830864815682,0.2806418301691953,0.9574468085106383,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3611923456192017,-1.5243798776218955,0.9993746091307066,0.9972491085073867,0.9923076923076923,0.7472340219340041,0.27992692032726985,0.9574468085106383,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3736841678619385,-1.504504527956307,0.99906191369606,0.9953260315843098,0.9846153846153847,0.7416293831667017,0.27494241004051156,0.9577464788732394,0.0,3198,371478,50356
Credential_Web_Like_Known,1.3977457284927368,-1.4780388892545462,0.9987492182614134,0.9934029546612329,0.9769230769230769,0.7339007962786491,0.2697394550798316,0.9577332498434565,0.0,3198,371478,50356
Credential_Web_Like_Known,1.405099868774414,-1.4714237128901226,0.9987492182614134,0.9934029546612329,0.9769230769230769,0.7321591049806448,0.26834935260942094,0.9577332498434565,0.0,3198,371478,50356
Credential_Web_Like_Known,1.4296599626541138,-1.441168772799094,0.99812382739212,0.9906520631686195,0.9692307692307692,0.7262475839753633,0.25307808404162363,0.9577067669172933,0.0,3198,371478,50356
Credential_Web_Like_Known,1.443023681640625,-1.4273790432981277,0.9978111319574734,0.989824248599083,0.9692307692307692,0.7225003903326711,0.24970212089919772,0.9576935130053275,0.0,3198,371478,50356
Credential_Web_Like_Known,1.443275809288025,-1.4277902238945304,0.9974984365228268,0.9889964340295466,0.9692307692307692,0.7224277076973603,0.2495035348319962,0.957680250783699,0.0,3198,371478,50356
Credential_Web_Like_Known,1.471933126449585,-1.3893392850153188,0.9962476547842402,0.9845899133978604,0.9615384615384616,0.7096974787201396,0.24483676225276035,0.9579409918392969,0.0,3198,371478,50356
Credential_Web_Like_Known,1.494188904762268,-1.3450563888200338,0.9949968730456535,0.9801833927661743,0.9538461538461539,0.6944341253048633,0.2419374056716181,0.9585166561910748,0.0,3198,371478,50356
Credential_Web_Like_Known,1.5054630041122437,-1.3494034984165217,0.9934333958724203,0.9749490575649515,0.9461538461538461,0.688191494516499,0.2405473032012074,0.9597104186339314,0.0038461538461538325,3198,371478,50356
Credential_Web_Like_Known,1.5079349279403687,-1.3883822651025945,0.9924953095684803,0.9713703515028018,0.9384615384615385,0.682740296868186,0.23893875605687506,0.9596723377441714,0.014518593988792627,3198,371478,50356
Credential_Web_Like_Known,1.533874273300171,-1.529987027484586,0.9899937460913071,0.9625573102394294,0.9230769230769231,0.670090826374644,0.23341806338867266,0.9614655716993051,0.04977075904228212,3198,371478,50356
Credential_Web_Like_Known,1.5746833086013794,-2.1827297537971075,0.9799874921826142,0.9240193581253184,0.8384615384615385,0.6222683442895676,0.22033124156009215,0.9671346522016592,0.20392256749872628,3198,371478,50356
Credential_Web_Like_Known,1.685524344444275,-4.396788018267653,0.9499687304565353,0.8029291900152826,0.5461538461538461,0.5437684062044051,0.12699578997537533,0.9802501645819618,0.6882832399388691,3198,371478,50356
Credential_Web_Like_Known,3.532752513885498,-8.613410841250118,0.8699186991869918,0.5188576234554698,0.03076923076923077,0.005696165048805044,0.000814202875526253,1.0,1.8228731533367295,3198,371478,50356
Credential_Web_Like_Known,3.746951103210449,-8.82129424661173,0.8674171357098186,0.508469827949379,0.0,0.003954473750800855,1.9858606720152514e-05,1.0,1.8635761589403974,3198,371478,50356
Credential_Web_Like_Known,4.312211513519287,-8.907595445321572,0.8649155722326454,0.5036946227861753,0.0,0.0035426054840394317,0.0,1.0,1.8801324503311259,3198,371478,50356
Credential_Web_Like_Known,5.203057289123535,-8.972577404800248,0.8617886178861789,0.49922012822596046,0.0,0.001636705269221865,0.0,1.0,1.8933774834437085,3198,371478,50356
Credential_Web_Like_Known,5.2935566902160645,-8.990472463030326,0.8605378361475923,0.49786520968987646,0.0,0.0016313213703099511,0.0,1.0,1.8966887417218543,3198,371478,50356
Credential_Web_Like_Known,5.346333980560303,-8.9906845071355,0.8602251407129456,0.4976531655847026,0.0,0.0016313213703099511,0.0,1.0,1.8966887417218543,3198,371478,50356
Credential_Web_Like_Known,5.4632248878479,-9.010613142357851,0.8561601000625391,0.49428082175307964,0.0,0.0016313213703099511,0.0,1.0,1.9,3198,371478,50356
Credential_Web_Like_Known,5.50687837600708,-9.017610597828588,0.8458411507191995,0.4872833662823417,0.0,0.0016313213703099511,0.0,1.0,1.9,3198,371478,50356
Credential_Web_Like_Known,5.861624717712402,-14.004046407132408,0.4937460913070669,0.24873976055450536,0.0,0.0009287225623051702,0.0,1.0,2.8499999999999996,3198,371478,50356
Credential_Web_Like_Known,5.882302761077881,-14.00499158671653,0.491869918699187,0.24779458097038437,0.0,0.0009287225623051702,0.0,1.0,2.8499999999999996,3198,371478,50356
Credential_Web_Like_Known,5.882314205169678,-14.007827125468893,0.48624140087554724,0.24495904221802142,0.0,0.0009287225623051702,0.0,1.0,2.8499999999999996,3198,371478,50356
Credential_Web_Like_Known,5.882343292236328,-14.014443382557738,0.4731081926203877,0.23834278512917453,0.0,0.0009287225623051702,0.0,1.0,2.8499999999999996,3198,371478,50356
Rare_Fallback_Known,1.8905996084213257,-2.5458282725835293,0.9230769230769231,0.9523809523809524,0.8571428571428571,0.7704332423454417,0.7226237836424423,1.0,0.09285714285714286,13,371478,53541
Rare_Fallback_Known,1.890616536140442,-2.5458282725835293,0.9230769230769231,0.9523809523809524,0.8571428571428571,0.7704332423454417,0.7226237836424423,1.0,0.09285714285714286,13,371478,53541
Rare_Fallback_Known,1.8906503915786743,-2.5458282725835293,0.9230769230769231,0.9523809523809524,0.8571428571428571,0.7704332423454417,0.7226237836424423,1.0,0.09285714285714286,13,371478,53541
Rare_Fallback_Known,1.8906673192977905,-2.5458282725835293,0.9230769230769231,0.9523809523809524,0.8571428571428571,0.7704332423454417,0.7226237836424423,1.0,0.09285714285714286,13,371478,53541
Rare_Fallback_Known,1.8907519578933716,-2.5458282725835293,0.9230769230769231,0.9523809523809524,0.8571428571428571,0.7704332423454417,0.7226237836424423,1.0,0.09285714285714286,13,371478,53541
