arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
matched_random,4,e3,8919,5,0.10761431447997669,0.21522862895995337,0.11077475053257091
matched_random,4,e4,8919,5,0.022380359167702018,0.044760718335404036,0.11279291400381208
matched_random,4,region_constant,8919,5,0.013546566321730949,0.027093132643461897,0.07265388496468214
balanced_random,1,global,2118625,10,0.6541562263885281,0.6541562263885281,0.9133315239837159
balanced_random,1,e1,2118625,10,0.7236882496410348,0.7236882496410348,0.9154465750191751
balanced_random,1,e2,2118625,10,0.7056308930606381,0.7056308930606381,0.9142727004543041
balanced_random,1,e3,2118625,10,0.7144056001529209,0.7144056001529209,0.911691309221783
balanced_random,1,e4,2118625,10,0.6815223536268122,0.6815223536268122,0.9134655731901588
balanced_random,1,region_constant,2118625,10,0.025892459085909213,0.025892459085909213,0.14871532243790195
balanced_random,2,global,43043,9,0.23912370424014276,0.2656930047112697,0.880677462072811
balanced_random,2,e1,43043,9,0.42022768044385633,0.4669196449376181,0.8786329949120647
balanced_random,2,e2,43043,9,0.4085261417199192,0.45391793524435464,0.9374346583648909
balanced_random,2,e3,43043,9,0.41083571567429067,0.4564841285269896,0.9327881420904677
balanced_random,2,e4,43043,9,0.39053748295095736,0.4339305366121748,0.9398973119903352
balanced_random,2,region_constant,43043,9,0.01496431949101539,0.01662702165668377,0.08087261575633668
balanced_random,3,global,101136,10,0.18861243217145043,0.18861243217145043,0.28713811105837683
balanced_random,3,e1,101136,10,0.35157123582404887,0.35157123582404887,0.44208788166429364
balanced_random,3,e2,101136,10,0.24664582895645593,0.24664582895645593,0.36085073564309444
balanced_random,3,e3,101136,10,0.2465840319095903,0.2465840319095903,0.32640207245688974
balanced_random,3,e4,101136,10,0.30653503328714643,0.30653503328714643,0.3950324315772821
balanced_random,3,region_constant,101136,10,0.04401739720534255,0.04401739720534255,0.28219427305806044
balanced_random,4,global,8919,5,0.08665533605713645,0.1733106721142729,0.10169301491198565
balanced_random,4,e1,8919,5,0.08890337301808096,0.17780674603616192,0.11234443323242516
balanced_random,4,e2,8919,5,0.08885722264207774,0.17771444528415548,0.11212019284673169
balanced_random,4,e3,8919,5,0.08885874968062825,0.1777174993612565,0.11212019284673169
balanced_random,4,e4,8919,5,0.12227990696289451,0.24455981392578902,0.11234443323242516
balanced_random,4,region_constant,8919,5,0.013546566321730949,0.027093132643461897,0.07265388496468214
