model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows,test_TP,test_FP,test_recall,test_fpr,test_precision
expert1,1,infiltration,5,0.001,0.9921230881714195,0.0009793098059789546,0.0,3280,84119,70,0,0.008007320979180966,0.0,1.0
expert1,1,infiltration,5,0.01,0.8043940174549986,0.009982641893204832,0.19054878048780488,3280,84119,2775,15621,0.317433081674674,0.005149105177749774,0.15084801043705154
expert1,1,web_attacks,6,0.001,0.8891964979027668,0.0009886798509391036,0.2,75,87324,66,267,0.5196850393700787,8.776122111028792e-05,0.1981981981981982
expert1,1,web_attacks,6,0.01,0.15158798987899502,0.009996678699796495,1.0,75,87324,126,66895,0.9921259842519685,0.021987965865815393,0.0018800077587621791
expert2,2,benign,0,0.001,0.9720102295806545,0.0009846388358755757,0.42331087233655074,27455,59944,1052348,479,0.39678259922034625,0.001227355420606247,0.9995450344643517
expert2,2,benign,0,0.01,0.9477097034282002,0.009985435917716478,0.7960662902932071,27455,59944,2173817,3438,0.8196269290095819,0.008809285879006841,0.9984209474774429
expert2,2,bot,1,0.001,0.01181152532173486,0.0009984082865766542,1.0,563,86836,41542,7923,1.0,0.0026401806639339592,0.8398261396947336
expert2,2,bot,1,0.01,0.009526941585189446,0.009999354535292994,1.0,563,86836,41542,42178,1.0,0.014054971607144582,0.49620162446249405
expert2,2,brute_force,2,0.001,0.0019467453587970708,0.0009658975601248673,1.0,15811,71588,37676,32937,0.9994694397283531,0.010961545565611025,0.5335561440527948
expert2,2,brute_force,2,0.01,0.0012118859610042616,0.009985702409392106,1.0,15811,71588,37680,51646,0.9995755517826825,0.017187964364743208,0.4218256722566778
expert2,2,ddos,3,0.001,0.008931445221977656,0.0009834891012973162,1.0,25740,61659,262680,22855,1.0,0.008221835222982431,0.9199572731889261
expert2,2,ddos,3,0.01,0.00439758271149371,0.009998777625932497,1.0,25740,61659,262680,44923,1.0,0.016160555839949235,0.8539578612692333
expert2,2,dos,4,0.001,0.012737476718962956,0.0007100615466890967,1.0,14475,72924,39483,3233,1.0,0.001076593661650555,0.924314074351531
expert2,2,dos,4,0.01,0.004977703138002131,0.009963199255091343,1.0,14475,72924,39483,230537,1.0,0.07676915341043426,0.14622250203688616
expert2,2,infiltration,5,0.001,0.9154501445135228,0.0009793098059789546,0.0,3280,84119,804,13,0.09196980096087852,4.285152506929586e-06,0.9840881272949816
expert2,2,infiltration,5,0.01,0.15240486309588913,0.009982641893204832,0.031097560975609756,3280,84119,1339,13512,0.1531686113017616,0.004453921590279428,0.09016227863443539
expert2,2,web_attacks,6,0.001,0.7602041488668205,0.0009908007741409551,0.21333333333333335,75,87324,66,257,0.5196850393700787,8.447428399005241e-05,0.2043343653250774
expert2,2,web_attacks,6,0.01,0.024100936833451294,0.009997598558230798,0.76,75,87324,125,40668,0.984251968503937,0.013367315880573742,0.003064251219571985
expert3,3,benign,0,0.001,0.7592107246381858,0.0009846388358755757,0.5295574576579858,27455,59944,1565984,293,0.5904465080538707,0.0007507622927716709,0.999812932195263
expert3,3,benign,0,0.01,0.4729160294793846,0.009986015602288015,0.8299034784192315,27455,59944,2281869,3168,0.8603674002329385,0.008117457145053424,0.9986135891891466
expert3,3,bot,1,0.001,0.026382178129497755,0.0009980606428323944,1.0,563,86836,41422,6379,0.9971113571806846,0.0021256736659390034,0.8665509089767996
expert3,3,bot,1,0.01,0.00988319345763173,0.009998324518409355,1.0,563,86836,41422,86350,0.9971113571806846,0.028774403676725655,0.3241868327959177
expert3,3,brute_force,2,0.001,0.0072941676304530785,0.0009887991457845644,1.0,15811,71588,37696,22896,1.0,0.0076198666323657295,0.6221283337734355
expert3,3,brute_force,2,0.01,0.0020865113835510356,0.00999923552683813,1.0,15811,71588,37696,89827,1.0,0.029894730956739883,0.2956015777546011
expert3,3,ddos,3,0.001,0.017945769812574886,0.0009952304446761689,1.0,25740,61659,262680,26500,1.0,0.009533083938264467,0.9083615741060931
expert3,3,ddos,3,0.01,0.0024582278903831824,0.00991725521868385,1.0,25740,61659,262680,56905,1.0,0.020470948736110925,0.8219409546755949
expert3,3,dos,4,0.001,0.06122695883201014,0.0009575096999247902,1.0,14475,72924,39257,4657,0.9942760175265304,0.0015507877149108056,0.8939518149109623
expert3,3,dos,4,0.01,0.038774950404978706,0.0021703553198295254,1.0,14475,72924,39319,6683,0.995846313603323,0.002225448636192595,0.8547237076648841
expert3,3,infiltration,5,0.001,0.9412537572205815,0.0009793098059789546,0.0,3280,84119,468,5,0.053534660260809885,1.6481355795883022e-06,0.9894291754756871
expert3,3,infiltration,5,0.01,0.7274371130343675,0.009982641893204832,0.01768292682926829,3280,84119,1261,13889,0.14424616792495995,0.004578191012980386,0.08323432343234323
expert3,3,web_attacks,6,0.001,0.8035548662846055,0.0009844380045354012,0.2,75,87324,61,267,0.48031496062992124,8.776122111028792e-05,0.18597560975609756
expert3,3,web_attacks,6,0.01,0.14550824729871994,0.009981095103137546,0.22666666666666666,75,87324,126,28306,0.9921259842519685,0.009304004212538613,0.004431626336522229
expert4,4,benign,0,0.001,0.7469684339254,0.0009924534298110961,0.5593152431251138,27455,59944,1648280,340,0.6214758070931976,0.0008711917390524509,0.9997937669080807
expert4,4,benign,0,0.01,0.4557921506861269,0.009993830196223536,0.8368967401201967,27455,59944,2301003,3234,0.86758178012769,0.008286570835575371,0.9985964985372598
expert4,4,bot,1,0.001,0.023747291815283716,0.000990141613602993,1.0,563,86836,41422,4173,0.9971113571806846,0.001390568460254501,0.9084768066673977
expert4,4,bot,1,0.01,0.011062940478581518,0.009999372810563673,1.0,563,86836,41422,48586,0.9971113571806846,0.016190308940792042,0.4602035374633366
expert4,4,brute_force,2,0.001,0.00246167658476442,0.0009742103066441012,1.0,15811,71588,37696,27484,1.0,0.009146768628753481,0.5783369131635471
expert4,4,brute_force,2,0.01,0.0010722905000788703,0.009982439115639145,1.0,15811,71588,37696,77729,1.0,0.025868475430955443,0.3265843621399177
expert4,4,ddos,3,0.001,0.039915296410068274,0.0009697863018617573,1.0,25740,61659,262680,6172,1.0,0.0022203092100742754,0.9770431315370538
expert4,4,ddos,3,0.01,0.005192021746219367,0.009907248376007637,1.0,25740,61659,262680,45424,1.0,0.016340785087234914,0.8525692623270065
expert4,4,dos,4,0.001,0.09556684152478183,0.0009922228208043005,1.0,14475,72924,39378,2743,0.9973406276118836,0.0009134229551213957,0.9348780893141189
expert4,4,dos,4,0.01,0.05803577661390438,0.00999751021250242,1.0,14475,72924,39479,48934,0.9998986905756908,0.016295092557750777,0.4465293565425899
expert4,4,infiltration,5,0.001,0.8610096561024153,0.0009793098059789546,0.0,3280,84119,656,167,0.0750400366048959,5.50477283582493e-05,0.7970838396111786
expert4,4,infiltration,5,0.01,0.7473457206347512,0.009982641893204832,0.01920731707317073,3280,84119,1248,13968,0.14275909402882636,0.004604231555137881,0.08201892744479496
expert4,4,web_attacks,6,0.001,0.8291252153710338,0.0009886798509391036,0.2,75,87324,71,294,0.5590551181102362,9.663595133492377e-05,0.19452054794520549
expert4,4,web_attacks,6,0.01,0.1498897384666723,0.009995612310815005,0.22666666666666666,75,87324,126,24276,0.9921259842519685,0.007979368553083706,0.0051635111876075735
expert5,5,benign,0,0.001,0.8176452083122008,0.0009924534298110961,0.4572209069386268,27455,59944,1485430,316,0.5600740214832726,0.0008096958515899249,0.9997873122323735
expert5,5,benign,0,0.01,0.45340324725678693,0.009991117656119784,0.8354033873611364,27455,59944,2297558,3073,0.866282859946995,0.007874035923847592,0.998664279495495
expert5,5,bot,1,0.001,0.04031721094573575,0.0009967936566680662,1.0,563,86836,41422,9303,0.9971113571806846,0.0031000379548879998,0.8165993100049286
expert5,5,bot,1,0.01,0.02262891653965812,0.009999734059765772,1.0,563,86836,41422,55917,0.9971113571806846,0.018633217491505136,0.42554371834516486
expert5,5,brute_force,2,0.001,0.015447652689686547,0.00099828914528568,1.0,15811,71588,37696,2114,1.0,0.0007035463863042082,0.9468977643808089
expert5,5,brute_force,2,0.01,0.010421820203455166,0.00999767781711099,1.0,15811,71588,37696,53850,1.0,0.01792146305699225,0.41177113145304
expert5,5,ddos,3,0.001,0.018627256556752188,0.000984238830607721,1.0,25740,61659,262680,5196,1.0,0.0018692039299329122,0.9806029655512252
expert5,5,ddos,3,0.01,0.0028273761087842927,0.009994429830952714,1.0,25740,61659,262680,49401,1.0,0.01777146715600766,0.8417045574706566
expert5,5,dos,4,0.001,0.2365593428941213,0.0007660077599398323,1.0,14475,72924,38921,16121,0.9857660258845579,0.00536831624480934,0.7071145670578831
expert5,5,dos,4,0.01,0.2365593428941213,0.0007660077599398323,1.0,14475,72924,38921,16121,0.9857660258845579,0.00536831624480934,0.7071145670578831
expert5,5,infiltration,5,0.001,0.9648342225596013,0.0009793098059789546,0.0,3280,84119,630,0,0.0720658888126287,0.0,1.0
expert5,5,infiltration,5,0.01,0.780250070872722,0.009982641893204832,0.14939024390243902,3280,84119,2299,12538,0.2629832990162434,0.0041328647793756265,0.15495046168362878
expert5,5,web_attacks,6,0.001,0.844326531309476,0.000986558927737252,0.21333333333333335,75,87324,62,317,0.4881889763779528,0.00010419590671146543,0.16358839050131926
expert5,5,web_attacks,6,0.01,0.16012968058340418,0.009993251574623559,0.22666666666666666,75,87324,126,30094,0.9921259842519685,0.00989170856963672,0.004169424222369292
expert6,6,benign,0,0.001,0.5875411148621225,0.000998975918243694,0.5329083955563649,27455,59944,1581037,418,0.5961221671191835,0.0010710533733056602,0.9997356864406511
expert6,6,benign,0,0.01,0.3554248684166179,0.00999721977316456,0.723474776907667,27455,59944,2068437,3182,0.7798939221469849,0.008153329746073232,0.9984640032747334
expert6,6,bot,1,0.001,0.02263498778948521,0.0009975374914462274,1.0,563,86836,41422,26091,0.9971113571806846,0.008694301868320198,0.6135410957889592
expert6,6,bot,1,0.01,0.006875887308895566,0.00999771174513886,1.0,563,86836,41422,79345,0.9971113571806846,0.02644012808025243,0.3429910488792468
expert6,6,brute_force,2,0.001,0.003777877440866893,0.0009178800380601018,1.0,15811,71588,37696,28917,1.0,0.009623675900075113,0.5658955459144611
expert6,6,brute_force,2,0.01,0.0010029705958208136,0.0099776934346902,1.0,15811,71588,37696,70244,1.0,0.023377441986543426,0.34923105428942003
expert6,6,ddos,3,0.001,0.016790045461153605,0.0007966101765293004,1.0,25740,61659,262680,26687,1.0,0.009600355134357126,0.9077745561864345
expert6,6,ddos,3,0.01,0.005588235054187617,0.009991254292027718,1.0,25740,61659,262680,78709,1.0,0.02831469825271162,0.7694448268690556
expert6,6,dos,4,0.001,0.08930235886478775,0.0009981841300545583,0.9999309153713298,14475,72924,39236,3182,0.9937441430489071,0.0010596105881138466,0.924984676316658
expert6,6,dos,4,0.01,0.02422554407005112,0.009996597775989161,1.0,14475,72924,39387,46345,0.9975685738165793,0.015432951824681402,0.4594200531890076
expert6,6,infiltration,5,0.001,0.9052278225250173,0.0009793098059789546,0.0,3280,84119,652,419,0.07458247540608556,0.00013811376156949975,0.6087768440709617
expert6,6,infiltration,5,0.01,0.8559717791841802,0.009982641893204832,0.02926829268292683,3280,84119,1104,17284,0.1262868908716541,0.005697275071520844,0.06003915597128562
expert6,6,web_attacks,6,0.001,0.7943091271886065,0.0009886798509391036,0.21333333333333335,75,87324,87,263,0.6850393700787402,8.644644626219372e-05,0.24857142857142858
expert6,6,web_attacks,6,0.01,0.11887306554139174,0.009980730840422105,0.8666666666666667,75,87324,126,28228,0.9921259842519685,0.009278366103000776,0.004443817450800592
expert7,7,benign,0,0.001,0.7145390400823562,0.0009924534298110961,0.5599708614095793,27455,59944,1645789,456,0.620536587885618,0.001168421861787993,0.9997230059924251
expert7,7,benign,0,0.01,0.42904372212785646,0.00998940517922904,0.8226552540520853,27455,59944,2260958,4086,0.8524830112928762,0.010469674840495042,0.9981960615334625
expert7,7,bot,1,0.001,0.04794395082136037,0.0009981662656463495,0.9964476021314387,563,86836,41420,9787,0.9970632131336961,0.003261321236642895,0.8088737867869628
expert7,7,bot,1,0.01,0.01051760750393838,0.009999455875467803,1.0,563,86836,41422,86376,0.9971113571806846,0.028783067654671167,0.32412087826100566
expert7,7,brute_force,2,0.001,0.002023124816607584,0.0009976422491495944,1.0,15811,71588,37696,37698,1.0,0.012546022550092736,0.49998673634506724
expert7,7,brute_force,2,0.01,0.00044602027813839083,0.009996985223371923,1.0,15811,71588,37696,84855,1.0,0.028240032454987508,0.3075943892746693
expert7,7,ddos,3,0.001,0.002435570193694089,0.0009965464091863825,1.0,25740,61659,262680,26924,1.0,0.009685613281276699,0.9070316708332757
expert7,7,ddos,3,0.01,0.0003054755556815496,0.009971624963413622,1.0,25740,61659,262680,49239,1.0,0.017713189435328458,0.8421417098669847
expert7,7,dos,4,0.001,0.07996027560254045,0.0008298417399348183,1.0,14475,72924,38925,2499,0.985867335308867,0.0008321706032987123,0.9396726535341831
expert7,7,dos,4,0.01,0.006378847653723966,0.00885311663434684,1.0,14475,72924,39483,259114,1.0,0.08628533561550321,0.1322283880949909
expert7,7,infiltration,5,0.001,0.9377790019383608,0.0009793098059789546,0.0,3280,84119,971,284,0.11107298101121026,9.361410092061558e-05,0.7737051792828685
expert7,7,infiltration,5,0.01,0.7941595420301313,0.009982641893204832,0.02225609756097561,3280,84119,1338,16783,0.15305422100205904,0.005532131886446095,0.07383698471386789
expert7,7,web_attacks,6,0.001,0.8801699565857994,0.0009886798509391036,0.013333333333333334,75,87324,55,272,0.4330708661417323,8.940468967040566e-05,0.16819571865443425
expert7,7,web_attacks,6,0.01,0.14886094581796178,0.009974890158734028,0.7066666666666667,75,87324,126,53642,0.9921259842519685,0.017631788100367283,0.0023434012795714924
expert8,8,benign,0,0.001,0.8065526411026852,0.0009999449973708866,0.512547805499909,27455,59944,1502990,489,0.5666949324768881,0.0012529787070489661,0.9996747543530704
expert8,8,benign,0,0.01,0.44381290374911964,0.009993507169847805,0.8296849389910763,27455,59944,2306865,4097,0.8697920181826203,0.010497860455582033,0.9982271452321587
expert8,8,bot,1,0.001,0.020508519906577,0.000990141613602993,1.0,563,86836,41422,5059,0.9971113571806846,0.0016858101702438343,0.8911598287472301
expert8,8,bot,1,0.01,0.005698016062018845,0.009997394275622878,1.0,563,86836,41422,85697,0.9971113571806846,0.02855680453832494,0.3258521542806347
expert8,8,brute_force,2,0.001,0.00212134891743543,0.0009994941008554113,1.0,15811,71588,37680,28114,0.9995755517826825,0.009356434770367319,0.572696598474025
expert8,8,brute_force,2,0.01,0.0007939046846488582,0.009937489632538118,1.0,15811,71588,37696,92796,1.0,0.030882824249520015,0.2888759464181712
expert8,8,ddos,3,0.001,0.017724898888525246,0.0009697863018617573,1.0,25740,61659,262680,9525,1.0,0.003426514132527134,0.9650079903014273
expert8,8,ddos,3,0.01,0.0022861592627737037,0.009987858228308971,1.0,25740,61659,262680,46808,1.0,0.016838663886123893,0.8487566561546813
expert8,8,dos,4,0.001,0.05645861250645647,0.0009718591581955676,1.0,14475,72924,39275,16884,0.9947319099359218,0.0056223963449761735,0.6993536209690343
expert8,8,dos,4,0.01,0.0255129322117277,0.004164640486665486,1.0,14475,72924,39483,53306,1.0,0.017750974861721152,0.42551380012717027
expert8,8,infiltration,5,0.001,0.9488836517193728,0.0009793098059789546,0.0,3280,84119,399,14,0.0456417295813315,4.614779622847247e-06,0.9661016949152542
expert8,8,infiltration,5,0.01,0.7638617584728977,0.009982641893204832,0.10548780487804878,3280,84119,2035,14680,0.23278425989476093,0.004838926061671255,0.12174693389171402
expert8,8,web_attacks,6,0.001,0.14284893872550686,0.0009759543117279947,0.18666666666666668,75,87324,21,2377,0.16535433070866143,0.0007813049534799789,0.008757297748123435
expert8,8,web_attacks,6,0.01,0.06838606448614144,0.00998310841190545,0.21333333333333335,75,87324,61,25026,0.48031496062992124,0.008225888837101368,0.0024315382469007854
