arm,split,class,support,global_f1,system_f1,delta_f1,precision,recall,helpful,harmful,net_correction
expert6_always,full_test,benign,2652203,0.9978288284774497,0.8198829090693991,-0.1779459194080506,0.9993494679732241,0.6950614262935378,424,804855,-0.30330672275086035
expert6_always,full_test,bot,41542,0.9981673940826119,0.9973599508155221,-0.0008074432670898135,0.9989374803796093,0.9957873958884984,1,29,-0.000674016657840258
expert6_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert6_always,full_test,ddos,262680,0.9991026981922512,0.9999657379102409,0.0008630397179897331,0.999961931156303,0.9999695446931628,454,0,0.0017283386630120299
expert6_always,full_test,dos,39483,0.991998774932047,0.9902892825283548,-0.0017094924036922254,0.9965886064585631,0.9840690930273789,3,17,-0.00035458298508218725
expert6_always,full_test,infiltration,8742,0.35440575763470145,0.018369120623324846,-0.3360366370113766,0.009283205335017317,0.8643331045527339,4827,4,0.5517044154655685
expert6_always,full_test,web_attacks,127,0.3333333333333333,0.07491556647221369,-0.2584177668611196,0.038977635782747606,0.9606299212598425,11,0,0.08661417322834646
expert7_always,full_test,benign,2652203,0.9978288284774497,0.8924946354504449,-0.10533419302700475,0.9984854190084114,0.8068466101576689,651,508605,-0.19152153888672926
expert7_always,full_test,bot,41542,0.9981673940826119,0.9972992524716663,-0.0008681416109456164,0.9990337697473308,0.9955707476770498,1,38,-0.0008906648692889124
expert7_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert7_always,full_test,ddos,262680,0.9991026981922512,0.9998134299943648,0.0007107318021136733,0.9999809590543505,0.9996459570580174,370,1,0.0014047510278666058
expert7_always,full_test,dos,39483,0.991998774932047,0.9923315427506922,0.00033276781864521876,0.9998971457958344,0.9848795684218524,51,33,0.00045589240939138365
expert7_always,full_test,infiltration,8742,0.35440575763470145,0.02349450679696655,-0.33091125083773487,0.011946908676624693,0.7029283916723862,3430,18,0.3902997025852208
expert7_always,full_test,web_attacks,127,0.3333333333333333,0.053563523683045594,-0.27976980965028775,0.027556365292644044,0.952755905511811,11,1,0.07874015748031496
expert8_always,full_test,benign,2652203,0.9978288284774497,0.8961862962402539,-0.10164253223719577,0.9985557948154052,0.8128544459077982,466,492486,-0.18551370313660004
expert8_always,full_test,bot,41542,0.9981673940826119,0.9972882091333116,-0.0008791849493002823,0.9986482898452774,0.9959318280294641,7,29,-0.0005295845168744885
expert8_always,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
expert8_always,full_test,ddos,262680,0.9991026981922512,0.9999562224129825,0.000853524220731372,0.9999124486587515,1.0,462,0,0.0017587939698492463
expert8_always,full_test,dos,39483,0.991998774932047,0.9919867296159245,-1.2045316122533123e-05,0.9995885514439273,0.984499658080693,3,0,7.598206823189727e-05
expert8_always,full_test,infiltration,8742,0.35440575763470145,0.02555505813032845,-0.328850699504373,0.012999695692557992,0.747654998856097,3817,14,0.4350263097689316
expert8_always,full_test,web_attacks,127,0.3333333333333333,0.18543046357615894,-0.14790286975717437,0.5833333333333334,0.11023622047244094,0,97,-0.7637795275590551
legacy,full_test,benign,2652203,0.9978288284774497,0.9978288284774497,0.0,0.9972900902801056,0.9983681490443982,0,0,0.0
legacy,full_test,bot,41542,0.9981673940826119,0.9981673940826119,0.0,0.9998792270531401,0.9964614125463387,0,0,0.0
legacy,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
legacy,full_test,ddos,262680,0.9991026981922512,0.9991026981922512,0.0,0.9999656785914494,0.9982412060301508,0,0,0.0
legacy,full_test,dos,39483,0.991998774932047,0.991998774932047,0.0,0.9996913580246913,0.9844236760124611,0,0,0.0
legacy,full_test,infiltration,8742,0.35440575763470145,0.35440575763470145,0.0,0.409070498428379,0.3126286890871654,0,0,0.0
legacy,full_test,web_attacks,127,0.3333333333333333,0.3333333333333333,0.0,0.20593692022263452,0.8740157480314961,0,0,0.0
hdn,full_test,benign,2652203,0.9978288284774497,0.9978288284774497,0.0,0.9972900902801056,0.9983681490443982,0,0,0.0
hdn,full_test,bot,41542,0.9981673940826119,0.9981673940826119,0.0,0.9998792270531401,0.9964614125463387,0,0,0.0
hdn,full_test,brute_force,37696,0.9997346494719525,0.9997346494719525,0.0,1.0,0.9994694397283531,0,0,0.0
hdn,full_test,ddos,262680,0.9991026981922512,0.9991026981922512,0.0,0.9999656785914494,0.9982412060301508,0,0,0.0
hdn,full_test,dos,39483,0.991998774932047,0.991998774932047,0.0,0.9996913580246913,0.9844236760124611,0,0,0.0
hdn,full_test,infiltration,8742,0.35440575763470145,0.35440575763470145,0.0,0.409070498428379,0.3126286890871654,0,0,0.0
hdn,full_test,web_attacks,127,0.3333333333333333,0.3333333333333333,0.0,0.20593692022263452,0.8740157480314961,0,0,0.0
